year,agency,comment,has_comment,source_pdf,source_url
2024,Blue Springs Police Dept,"The City of Blue Springs is in The Kansas City Metropolitan area along Interstate 70 and US 40 Highways. This route is heavily traveled between Kansas City and St. Louis with both in State and out of State travelers. Within the City, and near the Interstate 70 corridor, there are many restaurants and retail businesses including a large shopping complex at Interstate 70 and Adams Dairy Parkway. In addition, the Blue Springs School District attracts many students and visitors who are not actual residents of the City. These daily travelers greatly affect the population levels outside of those reflected in the State population estimates of drivers 16 and over, which in turn has an impact on the disparity index. The City of Blue Springs has made a strong commitment to protect citizens, both residents and non-residents, from racially motivated or bias based profiling. In addition to the mandatory annual Racial Profiling training required by the State of Missouri, the members of the Blue Springs Police Department, both sworn and civilian, have been given additional POST certified training in this area.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Bridgeton Police Dept,"The City of Bridgeton is in northwest St. Louis County with a portion of St. Louis Lambert International Airport within its boundaries. The city has a relatively low population for its 15 plus square mile footprint. There are three major highways; namely, I-70, I-270, Hwy 370, and US 67 that run through the city. Also, St. Charles Rock Road and Natural Bridge Road are major thoroughfares which also run through the City of Bridgeton. The city has a large retail/commercial/manufacturing presence within its boundaries which accounts for a large amount of non-resident motorist traveling to work within the city. These businesses include Walmart, The Home Depot, Target, Kohls, Hussmann, DePaul Hospital and Davidson to name a few. Because of the proximity to the airport, the City of Bridgeton is home to 12 hotels/motels which account for a large transient population.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Clayton Police Dept,"As the County Seat, Clayton is home to the St. Louis County Courts, Government Center, Justice Center, and various social service agencies. The city also hosts major corporations, two universities, and a vibrant dining and retail scene, attracting visitors from across the region. As a result, Clayton's daytime population grows significantly beyond its residential base, with a substantial number of non-resident commuters and visitors. Clayton borders two diverse communities—St. Louis City and University City—further impacting the demographics of drivers encountered. Consequently, residential population figures alone are not an accurate benchmark for analyzing traffic stop disparities. Over the past two years, an increase in expired and temporary vehicle tags has contributed to a rise in traffic stops involving minority drivers. In 2024, Clayton PD received no complaints of racial profiling, and traffic stops seldom resulted in Resisting Arrest charges, reflecting the professionalism and de-escalation skills of officers. Clayton PD maintains a strong emphasis on traffic safety and public trust by providing regular training in Implicit Bias, Procedural Justice, de-escalation techniques, and guidelines discouraging arbitrary investigative or pretextual stops.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Concordia Police Dept,"Concordia's location along I-70 and the presence of Highway 23 running through the city contribute significantly to vehicle traffic in the area. The city sees a steady influx of travelers stopping for fuel, food, or rest, which naturally increases the number of non-local vehicles on our roadways. Additionally, local factories such as Tyson Foods, Milbank Manufacturing, and Old World Spice employ many individuals who commute from outside city limits. This combination of through-traffic and commuter traffic plays a notable role in the volume and variety of vehicle stops conducted by the Concordia Police Department.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Creve Coeur Police Dept,"I believe that using the “residential” demographics as the metric for determining the “disparity index” for traffic stops is flawed, and can therefore lead to a flawed conclusion if drawing a conclusion based on this data. The residential demographics of Creve Coeur is not reflective of the motoring public demographics within the city limits of Creve Coeur. Creve Coeur is situated in the middle of St. Louis County, and within our city limits are some of the most utilized roadways in the metro area. Additionally, the city is the home to several major corporations and medical facilities that draw people from all over the metropolitan area, boosting the daytime population to roughly 50,000 persons. CCPD takes the issue of bias very seriously. As a CALEA-accredited agency, we have strong policies that prohibit racial bias, we provide training, supervision, and have accountability mechanisms in place to combat and address bias-based policing.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Ellisville Police Dept,"The Ellisville Police Department has one of the busiest intersections in the entire St. Louis region. In 2024, there were over nine million trips recorded on Manchester and Clarkson roads. The population data reported does not reflect the actual numbers of persons coming in or through the City of Ellisville and greatly misrepresent the number of persons in our City at any time. Our total number of stops of minority travelers is miniscule compared to the overall number of persons travelling through our community.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Gladstone Police Dept,"Gladstone is considered an “inner tier” suburb in the Kansas City Metropolitan Statistical Area. It is completely surrounded by Kansas City, MO, a densely populated urban center with significantly different demographics than Gladstone. Gladstone is primarily residential that has vibrant and active retail areas with a white population greater than 78%. These retail districts include big box stores, grocery stores and other retail businesses. The multiple major arterial roads are used by many residents of surrounding municipalities to connect to the multiple state and interstate highways that run just outside of Gladstone's city limits in addition to patronizing our businesses. When viewed from that context, it appears that at any one time, the majority of people operating vehicles inside the corporate city limits of Gladstone are not its residents. As demonstrated by submitted statistics, approximately 77% of the stops conducted by our officers are on vehicles operated by non-residents of the driving age population using your 2023 population statistic. Since the numbers clearly show the vast majority of individuals contacted by Gladstone officers during vehicle stops are not residents, comparing the demographics of these drivers to the demographics of Gladstone's residents will result in flawed conclusions. Finally, as a CALEA nationally accredited organization, the Gladstone Police Department is continuously providing training to its members on such topics as bias-based policing and legal updates to ensure a well-trained, professional police force utilizing best practices in our profession.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Hazelwood Police Dept,"The City of Hazelwood encompasses approximately 16.76 square miles, making it one of the largest municipali- ties in St. Louis County, Missouri. Pursuant to the 2020 Decennial Census conducted by the United States Census Bureau, Hazelwood has a population of 25,458 residents. The city hosts more than 1,000 businesses, including 12 Fortune 500 companies, six Fortune 1000 companies, and 10 corporate headquarters. Hazelwood contains approx- imately 159.5 centerline miles of roadway, including major transportation corridors such as U.S. Highway 67 and Interstates 170, 270, and 370. It is estimated that approximately 267,000 vehicles travel through the City's corporate limits on a daily basis, evidencing its role as a significant transportation and economic hub within the region.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Jasper County Sheriff's Dept,"Something to consider when viewing these results includes: Jasper County is a crossroads of two major US Interstates (I-44, I-49), Jasper County is a thoroughfare of historic Route 66 travelled by a diverse cross section

of people from around the world. Jasper County has two major Universities (MSSU, OCC) in our County and several large corporations (Conway Trucking, Tri-State Trucking, Eagle Picher, Leggett and Platt among several other businesses) that employ people who do not live in our jurisdiction or state (Jasper County borders Kansas and Oklahoma). A lot of people traveling through our county, working in our county or going to school in our county do not reside in Jasper County. The population for Jasper County is approximately 125,056 residents, but the Chamber of Commerce estimates that on any given day there are over 220,000 people in our county.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Kansas City Police Dept,"Relying on a census population for ages 16 and over as a benchmark does not provide a realistic picture of the driving population in Kansas City, Missouri at any given time. There are several major thoroughfares that run through the City, including I-29, I-35, and I-70 that contain a large percentage of drivers not reflected in population numbers used for comparison purposes. Additionally, Kansas City is contained within a large metropolitan population, which adds to the commuter population on these roadways. When examining search rates, the probable cause/authority to search reasons should be considered. When examining arrest rates, the arrest charges should be considered. Lastly, KCPD views vehicle stop data collection as one of many tools to address the issue of racial profiling. Other tools in use by the Department include training, community programs, and policies.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Lake Saint Louis Police Dept,"The city of Lake Saint Louis is bordered by I-70 to the north and I-64 bisects the south end with the addition of Hwy 364 as a connector highway throughout St. Charles County. A large shopping center is just north of I-64 and a retail district lies directly to the south. Workers routinely travel both interstate corridors west to the Wentzville GM Plant and to major employers in O'Fallon and other points east. Additionally, the population of our city is greater than indicated from the 2020 census results of 16, 707. Based on current statistics from the 2025 World Population Review, Lake St. Louis has a population of 19,910. The city is currently growing at the rate of 3.24% and the population has increased by 18.6%. Due to these factors, calculating a disparity index based on comparison of ethnicity of drivers stopped with the ethnicity of the city's population may be misleading due to the transient traffic.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Maryland Heights Police Dept,"Maryland Heights has 1,880 businesses, which employ 43,257 people. Maryland Heights is the host city to Hollywood Casino, which had 3,640,831 visitors in 2024. The 20,000 seat Verizon Wireless Amphitheater had 510,057 visitors in 2024. The 4,500 seat Centene St Louis Music Park had 86,875 visitors in 2024. The Centene Ice Rink had 825,217 visitors in 2023. The city has 26 hotels with 4,000 rooms. Maryland Heights has 82 liquor establishments selling alcohol by the drink. Finally, the section of I-270 in Maryland Heights has an average daily traffic count reported by MoDOT of 138,200 vehicles. The annual demographics of the 50,443,000 vehicles on I-270; the 3,640,831 visitors to the casino; the 510,057 visitors to the amphitheater; The combined total of 912,092 patrons of the Centene Community Ice Center; and the 43,257 people employed in Maryland Heights are not known and impact the validity of this report.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,New Haven Police Dept,"The New Haven PD disbanded in February of 2024 and did not start back up until I took over on January 1,2025.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,O'Fallon Police Dept,"The City of O'Fallon is located in the center of St. Charles County. We have 2 major Interstates- I-70/64, Route 364 and State Highway 79. O'Fallon also has a major arterial roadway- MO K- that connects the 4 highways from north to south and is a major retail corridor. Because of these heavily traveled roadways, our driver population is more diverse than the census population would indicate, making our disparity index artificially high.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Riverside Police Dept,"The Riverside Police Department, by policy and practice, prohibts racial profiling. Some factors dramatically increase the driving population above Riverside's citied driver-eligible population. Those factors include a daytime population that grows by 87%; the presence of a riverboat casino; bordering on two major metropolitan cities (Kansas City, Mo and Kansas City, KS); and state and federal highway routes traveling through the City with a daily traffic count approaching 300,000 vechiles.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,St. John Police Dept,"We acknowledge the importance of reviewing and understanding traffic stop data, especially when disparities appear to be present. After an initial review of the findings, it is important to consider a number of contextual factors that contribute to these statistics. Daily, the City of St. John experiences a notable increase in overall vehicle traffic, particularly in key corridors that serve as transit routes for local and regional commuters and commercial transport. This influx leads to a higher volume of vehicle stops citywide, some of which correlate with changes in traffic patterns, event-driven surges, and ongoing infrastructure projects diverting traffic into specific neighborhoods. We understand that it is critical to ensure that traffic enforcement efforts remain fair, consistent, and driven by objective criteria. We also recognize the importance of community trust and remain committed to ensure that enforcement is in the best interest of community safety and aligned with best practices.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Sun Rise Beach Police Dept,"As a law enforcement agency at Lake of the Ozarks, a popular tourist destination, the Sunrise Beach Police De- partment operates in an environment where daily traffic volumes far exceed what might be expected for a community of our size. Our roadways experience a substantial amount of visitor traffic, particularly during peak seasons. As a result, local traffic counts and associated enforcement activity are not solely indicative of our residential population, but rather the unique demands of a high-traffic tourist area.",True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2024,Winona Police Dept,Winona Police Department has previously been unable to provide more detail on traffic stops as the system we use for ticket writing has only recently provided more detailed options when entering traffic stops.,True,VSR_agency_comments_2024.pdf,https://ago.mo.gov/wp-content/uploads/2024-Agency-Responses-1.pdf
2023,Adair County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Adrian Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Advance Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Alton Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Anderson Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Andrew County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Annapolis Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Archie Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Arnold Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Ash Grove Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Ashland Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Atchison County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Audrain County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Aurora Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Ava Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Ballwin Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Barry County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Barton County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bates City Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bates County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Battlefield Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bel-Nor Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bel-Ridge Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bella Villa Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bellefontaine Neighbors Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Belton Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Benton County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Benton Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bernie Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bertrand Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bethany Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bismarck Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bland Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bloomfield Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Blue Springs Police Dept,"The City of Blue Springs is in The Kansas City Metropolitan area along Interstate 70 and US 40 Highways. This route is heavily traveled between Kansas City and St. Louis with both in State and out of State travelers. Within the City, and near the Interstate 70 corridor, are many restaurants and retail businesses to include a large shopping complex at Interstate 70 and Adams Dairy Parkway. In addition, the Blue Springs School District attracts a large number of students and visitors who are not actual residents of the City. These daily travelers greatly affect the population levels outside of those reflected in the State population estimates of drivers 16 and over, which in turn has an impact on the disparity index. The City of Blue Springs Police Department has made a strong commitment to protect citizens, both residents and non-residents, from racially motivated or bias based profiling. In addition to the mandatory annual Racial Profiling training required by the State of Missouri, the members of the Blue Springs Police Department, both sworn and civilian, have been given additional POST certified training in this area.",True,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bolivar Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bollinger County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bonne Terre Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Boone County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Boonville Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bourbon-Dept of Public Safety,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bowling Green Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Branson Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Branson West Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Breckenridge Hills Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Brentwood Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Bridgeton Police Dept,"The City of Bridgeton is in northwest St. Louis County with a portion of St. Louis Lambert International Airport within its boundaries. The city has a relatively low population for its 15 plus square mile footprint. There are three major highways; namely, I-70, I-270, Hwy 370, and US 67 that run through the city. Also, St. Charles Rock Road and Natural Bridge Road are major thoroughfares which also run through the City of Bridgeton. The city has a large retail/commercial/manufacturing presence within its boundaries which accounts for a large amount of non-resident motorist traveling to work within the city. These businesses include Walmart, The Home Depot, Target, Kohls, Hussmann, DePaul Hospital and Davidson to name a few. Because of the proximity to the airport, the City of Bridgeton is home to 12 hotels/motels which account for a large transient population.",True,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Brookfield Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Brunswick Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Buchanan County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Buckner Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Buffalo Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
