agency,race,year,searches,contraband,hit_rate
Adrian Police Dept,White,2024,43,9,20.9
Alton Police Dept,White,2024,24,8,33.3
Andrew County Sheriff's Dept,White,2024,130,46,35.4
Ash Grove Police Dept,White,2024,36,17,47.2
Ashland Police Dept,White,2024,65,7,10.8
Audrain County Sheriff's Dept,White,2024,54,9,16.7
Aurora Police Dept,White,2024,107,21,19.6
Ava Police Dept,White,2024,45,9,20.0
Ballwin Police Dept,White,2024,30,4,13.3
Bates County Sheriff's Dept,White,2024,93,23,24.7
Battlefield Police Dept,White,2024,47,2,4.3
Belton Police Dept,White,2024,189,59,31.2
Belton Police Dept,Black,2024,135,29,21.5
Belton Police Dept,Hispanic,2024,45,10,22.2
Benton County Sheriff's Dept,White,2024,174,28,16.1
Bismarck Police Dept,White,2024,27,2,7.4
Blue Springs Police Dept,White,2024,138,32,23.2
Blue Springs Police Dept,Black,2024,57,8,14.0
Bolivar Police Dept,White,2024,128,16,12.5
Bollinger County Sheriff's Dept,White,2024,33,10,30.3
Boone County Sheriff's Dept,White,2024,454,93,20.5
Boone County Sheriff's Dept,Black,2024,333,62,18.6
Boone County Sheriff's Dept,Hispanic,2024,38,9,23.7
Boonville Police Dept,White,2024,72,21,29.2
Boonville Police Dept,Black,2024,34,8,23.5
Bowling Green Police Dept,White,2024,127,18,14.2
Branson Police Dept,White,2024,175,40,22.9
Branson Police Dept,Black,2024,20,4,20.0
Branson Police Dept,Hispanic,2024,20,4,20.0
Branson West Police Dept,White,2024,48,5,10.4
Bridgeton Police Dept,White,2024,45,8,17.8
Bridgeton Police Dept,Black,2024,63,13,20.6
Brookfield Police Dept,White,2024,65,11,16.9
Buchanan County Sheriff's Dept,White,2024,32,6,18.8
Buffalo Police Dept,White,2024,30,5,16.7
Butler County Sheriff's Dept,White,2024,131,23,17.6
Butler Police Dept,White,2024,88,29,33.0
Cabool Police Dept,White,2024,23,6,26.1
Caldwell County Sheriff's Dept,White,2024,41,6,14.6
Callaway County Sheriff's Dept,White,2024,351,64,18.2
Callaway County Sheriff's Dept,Black,2024,84,15,17.9
Camden County Sheriff's Dept,White,2024,456,114,25.0
Camden County Sheriff's Dept,Black,2024,24,6,25.0
Camden County Sheriff's Dept,Hispanic,2024,23,10,43.5
Camdenton Police Dept,White,2024,72,10,13.9
Cameron Police Dept,White,2024,59,5,8.5
Cape Girardeau Co Sheriff's Dept,White,2024,277,72,26.0
Cape Girardeau Co Sheriff's Dept,Black,2024,81,19,23.5
