agency,agency_type,census_geo_type,census_match_name,pop_total,pop_white,pop_black,pop_hispanic
Adair County Sheriff's Dept,county_sheriff,county,"Adair County, Missouri",25301,22028,1123,755
Adrian Police Dept,municipal_police,place,"Adrian city, Missouri",1857,1650,15,62
Advance Police Dept,municipal_police,place,"Advance city, Missouri",1450,1351,18,10
Alma Police Dept,municipal_police,place,"Alma city, Missouri",450,428,0,2
Alton Police Dept,municipal_police,place,"Alton city, Missouri",744,619,7,26
Anderson Police Dept,municipal_police,place,"Anderson city, Missouri",2685,1687,0,464
Andrew County Sheriff's Dept,county_sheriff,county,"Andrew County, Missouri",18065,16698,242,470
Annapolis Police Dept,municipal_police,place,"Annapolis city, Missouri",427,398,8,14
Appleton City Police Dept,municipal_police,place,"Appleton City city, Missouri",1221,1130,18,48
Arbyrd Police Dept,municipal_police,place,"Arbyrd city, Missouri",432,287,0,79
Arcadia Police Dept,municipal_police,place,"Arcadia city, Missouri",586,556,2,0
Archie Police Dept,municipal_police,place,"Archie city, Missouri",1322,1177,10,24
Arnold Police Dept,municipal_police,place,"Arnold city, Missouri",20956,18451,52,548
Ash Grove Police Dept,municipal_police,place,"Ash Grove city, Missouri",1333,1261,5,1
Ashland Police Dept,municipal_police,place,"Ashland city, Missouri",4914,4436,50,161
Atchison County Sheriff's Dept,county_sheriff,county,"Atchison County, Missouri",5187,4804,11,107
Audrain County Sheriff's Dept,county_sheriff,county,"Audrain County, Missouri",24548,21403,1091,786
Aurora Police Dept,municipal_police,place,"Aurora city, Missouri",7397,6642,19,496
Auxvasse Police Dept,municipal_police,place,"Auxvasse city, Missouri",1452,1364,3,4
Ava Police Dept,municipal_police,place,"Ava city, Missouri",3045,2947,53,16
Ballwin Police Dept,municipal_police,place,"Ballwin city, Missouri",31279,23448,877,1295
Barry County Sheriff's Dept,county_sheriff,county,"Barry County, Missouri",35033,28092,70,3564
Barton County Sheriff's Dept,county_sheriff,county,"Barton County, Missouri",11690,10509,27,357
Bates City Police Dept,municipal_police,place,"Bates City city, Missouri",162,156,0,0
Bates County Sheriff's Dept,county_sheriff,county,"Bates County, Missouri",16186,14845,346,416
Battlefield Police Dept,municipal_police,place,"Battlefield city, Missouri",6165,5493,15,274
Bella Villa Police Dept,municipal_police,place,"Bella Villa city, Missouri",691,608,19,33
Belle Police Dept,municipal_police,place,"Belle city, Missouri",1246,1148,0,40
Bellefontaine Neighbors Police Dept,municipal_police,place,"Bellefontaine Neighbors city, Missouri",10498,1160,8834,29
Bellflower Police Dept,municipal_police,place,"Bellflower city, Missouri",238,225,0,3
Belton Police Dept,municipal_police,place,"Belton city, Missouri",25008,19142,2050,1927
Benton County Sheriff's Dept,county_sheriff,county,"Benton County, Missouri",20151,18460,193,411
Benton Police Dept,municipal_police,place,"Benton city, Missouri",826,744,32,10
Berger Police Dept,municipal_police,place,"Berger city, Missouri",169,143,3,3
Berkeley Police Dept,municipal_police,place,"Berkeley city, Missouri",8123,673,6416,613
Bernie Police Dept,municipal_police,place,"Bernie city, Missouri",1725,1562,17,52
Bertrand Police Dept,municipal_police,place,"Bertrand city, Missouri",732,579,19,42
Bethany Police Dept,municipal_police,place,"Bethany city, Missouri",3080,2948,52,0
Beverly Hills Police Dept,municipal_police,place,"Beverly Hills city, Missouri",488,5,478,0
Billings Police Dept,municipal_police,place,"Billings city, Missouri",844,723,0,55
Birch Tree Police Dept,municipal_police,place,"Birch Tree city, Missouri",402,348,0,0
Bismarck Police Dept,municipal_police,place,"Bismarck city, Missouri",1508,1333,1,40
Bland Police Dept,municipal_police,place,"Bland city, Missouri",476,433,0,10
Bloomfield Police Dept,municipal_police,place,"Bloomfield city, Missouri",2069,1973,16,3
Blue Springs Police Dept,municipal_police,place,"Blue Springs city, Missouri",59965,46879,4797,3712
Bolivar Police Dept,municipal_police,place,"Bolivar city, Missouri",11170,10211,97,406
Bollinger County Sheriff's Dept,county_sheriff,county,"Bollinger County, Missouri",10559,9893,89,175
Bonne Terre Police Dept,municipal_police,place,"Bonne Terre city, Missouri",6683,5113,740,165
Boone County Sheriff's Dept,county_sheriff,county,"Boone County, Missouri",188043,142496,17873,8454
Boonville Police Dept,municipal_police,place,"Boonville city, Missouri",7689,6376,709,221
Bourbon-Dept of Public Safety,municipal_police,place,"Bourbon city, Missouri",1636,1269,0,123
Bowling Green Police Dept,municipal_police,place,"Bowling Green city, Missouri",4170,3523,322,117
Branson Police Dept,municipal_police,place,"Branson city, Missouri",12817,10272,691,871
Branson West Police Dept,municipal_police,place,"Branson West city, Missouri",536,486,3,0
Braymer Police Dept,municipal_police,place,"Braymer city, Missouri",795,751,8,2
Breckenridge Hills Police Dept,municipal_police,place,"Breckenridge Hills city, Missouri",4402,2057,806,970
Brentwood Police Dept,municipal_police,place,"Brentwood city, Missouri",8144,6344,238,116
Bridgeton Police Dept,municipal_police,place,"Bridgeton city, Missouri",11369,6346,2697,1572
Brookfield Police Dept,municipal_police,place,"Brookfield city, Missouri",4144,3797,34,168
Brunswick Police Dept,municipal_police,place,"Brunswick city, Missouri",859,719,53,52
Buchanan County Sheriff's Dept,county_sheriff,county,"Buchanan County, Missouri",83568,66629,4685,6318
Buckner Police Dept,municipal_police,place,"Buckner city, Missouri",2914,2587,29,143
Buffalo Police Dept,municipal_police,place,"Buffalo city, Missouri",3417,3190,8,129
Butler County Sheriff's Dept,county_sheriff,county,"Butler County, Missouri",42020,36091,1978,1035
Butler Police Dept,municipal_police,place,"Butler city, Missouri",4668,3972,310,179
Butterfield Police Dept,municipal_police,place,"Butterfield city, Missouri",370,261,0,65
Byrnes Mill Police Dept,municipal_police,place,"Byrnes Mill city, Missouri",3189,2725,60,14
Cabool Police Dept,municipal_police,place,"Cabool city, Missouri",2348,2042,6,85
Caldwell County Sheriff's Dept,county_sheriff,county,"Caldwell County, Missouri",8927,8213,107,203
Callaway County Sheriff's Dept,county_sheriff,county,"Callaway County, Missouri",44741,39393,1672,1098
Calverton Park Police Dept,municipal_police,place,"Calverton Park city, Missouri",1546,459,800,47
Camden County Sheriff's Dept,county_sheriff,county,"Camden County, Missouri",43667,40223,381,1526
Camden Police Dept,municipal_police,place,"Camden city, Missouri",135,126,0,5
Camdenton Police Dept,municipal_police,place,"Camdenton city, Missouri",4023,3404,109,443
Cameron Police Dept,municipal_police,place,"Cameron city, Missouri",8519,7318,615,272
Campbell Police Dept,municipal_police,place,"Campbell city, Missouri",1766,1339,8,66
Canalou Police Dept,municipal_police,place,"Canalou city, Missouri",177,120,0,0
Canton Police Dept,municipal_police,place,"Canton city, Missouri",2752,2248,220,89
Cape Girardeau Co Sheriff's Dept,county_sheriff,county,"Cape Girardeau County, Missouri",82735,69142,6109,2439
Cape Girardeau Police Dept,municipal_police,place,"Cape Girardeau city, Missouri",40344,30356,5313,1502
Cardwell Police Dept,municipal_police,place,"Cardwell city, Missouri",816,648,0,62
Carl Junction Police Dept,municipal_police,place,"Carl Junction city, Missouri",8339,7660,0,315
Carroll County Sheriff's Dept,county_sheriff,county,"Carroll County, Missouri",8411,7850,127,187
Carrollton Police Dept,municipal_police,place,"Carrollton city, Missouri",3145,2864,46,138
Carter County Sheriff's Dept,county_sheriff,county,"Carter County, Missouri",5297,4903,22,121
Carterville Police Dept,municipal_police,place,"Carterville city, Missouri",2074,1700,0,189
Carthage Police Dept,municipal_police,place,"Carthage city, Missouri",15574,9295,223,5378
Caruthersville Police Dept,municipal_police,place,"Caruthersville city, Missouri",5326,3523,1435,182
Cass County Sheriff's Dept,county_sheriff,county,"Cass County, Missouri",110773,92652,5052,6083
Cassville Police Dept,municipal_police,place,"Cassville city, Missouri",3202,2967,0,57
Cedar County Sheriff's Dept,county_sheriff,county,"Cedar County, Missouri",14615,13461,72,320
Center Police Dept,municipal_police,place,"Center city, Missouri",537,501,8,20
Centralia Police Dept,municipal_police,place,"Centralia city, Missouri",4690,4060,5,161
Chaffee Police Dept,municipal_police,place,"Chaffee city, Missouri",3026,2793,7,35
Chariton County Sheriff's Dept,county_sheriff,county,"Chariton County, Missouri",7390,6852,138,111
Charleston Police Dept,municipal_police,place,"Charleston city, Missouri",4482,1940,2028,36
Chesterfield Police Dept,municipal_police,place,"Chesterfield city, Missouri",49574,36471,1903,1634
Chillicothe Police Dept,municipal_police,place,"Chillicothe city, Missouri",8923,7778,434,233
Christian County Sheriff's Dept,county_sheriff,county,"Christian County, Missouri",92915,83999,653,3505
City of Bellerive Acres,municipal_police,place,"Bellefontaine Neighbors city, Missouri",10498,1160,8834,29
City of Bellerive Acres Police Dept,municipal_police,place,"Bellerive Acres city, Missouri",288,120,160,0
City of California Police Dept,municipal_police,place,"California city, Missouri",4509,3675,29,610
City of Oakland Police Dept,municipal_police,place,"Oakland city, Missouri",1562,1439,20,49
Clarence Police Dept,municipal_police,place,"Clarence city, Missouri",862,753,22,35
