agency,county,geo_type,agency_type,hisp_stops_2020,hisp_stops_2024,total_stops_2024,stop_change_pct,hisp_arrest_rate,white_arrest_rate,arrest_ratio,hisp_search_rate,white_search_rate,search_ratio,discretionary_share,ever_commented,comment_years,has_287g,g287_type,g287_date,cluster
Dexter Police Dept,"Dexter city, Missouri",place,municipal_police,35,61,3160,74.3,3.28,1.66,1.98,1.64,4.13,0.4,40.6,False,0,False,,,Other
Battlefield Police Dept,"Battlefield city, Missouri",place,municipal_police,13,51,1825,292.3,0.0,2.22,0.0,0.0,2.82,0.0,23.5,True,1,False,,,Other
Macon County Sheriff's Dept,"Macon County, Missouri",county,county_sheriff,23,29,527,26.1,3.45,5.98,0.58,3.45,2.99,1.15,10.3,False,0,False,,,Macon County
St John Police Dept,"St John city, Missouri",place,municipal_police,18,26,710,44.4,26.92,12.43,2.17,19.23,14.59,1.32,71.8,False,0,False,,,Other
Raytown Police Dept,"Raytown city, Missouri",place,municipal_police,55,25,454,-54.5,4.0,10.14,0.39,8.0,14.19,0.56,100.0,False,0,False,,,KC Metro (Jackson/Clay)
Missouri Dept Natural Resources-Park Rangers,Missouri,state,park_ranger,129,153,4761,18.6,4.58,3.59,1.28,5.23,4.39,1.19,47.4,False,0,False,,,Other
Linn County Sheriff's Dept,"Linn County, Missouri",county,county_sheriff,11,115,1427,945.5,1.74,1.39,1.25,1.74,1.9,0.92,6.6,False,0,False,,,Linn County
St Robert Police Dept,"St Robert city, Missouri",place,municipal_police,135,190,2913,40.7,3.68,2.79,1.32,3.16,1.97,1.6,46.4,False,0,False,,,Other
Camden County Sheriff's Dept,"Camden County, Missouri",county,county_sheriff,40,86,2959,115.0,23.26,12.17,1.91,26.74,16.96,1.58,50.5,False,0,False,,,Camden County
Crawford County Sheriff's Dept,"Crawford County, Missouri",county,county_sheriff,18,106,2911,488.9,14.15,3.24,4.37,4.72,7.22,0.65,28.4,False,0,False,,,Crawford County
Kennett Police Dept,"Kennett city, Missouri",place,municipal_police,132,199,3382,50.8,11.06,2.99,3.7,6.53,2.78,2.35,41.2,False,0,False,,,Other
St Clair County Sheriff's Dept,"St Clair County, Missouri",county,county_sheriff,38,28,861,-26.3,3.57,1.48,2.41,3.57,3.62,0.99,39.3,False,0,False,,,St Clair County
Higginsville Police Dept,"Higginsville city, Missouri",place,municipal_police,38,63,1966,65.8,0.0,1.74,0.0,6.35,6.09,1.04,68.3,False,0,False,,,Other
Webb City Police Dept,"Webb City city, Missouri",place,municipal_police,81,233,6697,187.7,11.59,6.72,1.72,6.44,2.39,2.69,32.8,False,0,False,,,SW Missouri
Maryville Dept of Public Safety,"Maryville city, Missouri",place,municipal_police,41,30,1451,-26.8,36.67,9.97,3.68,16.67,7.48,2.23,59.4,False,0,False,,,Other
Manchester Police Dept,"Manchester city, Missouri",place,municipal_police,19,60,4069,215.8,28.33,3.49,8.12,10.0,2.89,3.46,64.5,True,2,False,,,St. Louis County
Crystal City Police Dept,"Crystal City city, Missouri",place,municipal_police,19,63,3383,231.6,9.52,4.47,2.13,9.52,7.35,1.3,56.3,False,0,False,,,Other
Macon Police Dept,"Macon city, Missouri",place,municipal_police,39,47,1616,20.5,0.0,1.54,0.0,0.0,1.4,0.0,20.4,False,0,False,,,Other
Cape Girardeau Police Dept,"Cape Girardeau city, Missouri",place,municipal_police,55,145,5457,163.6,2.07,1.4,1.48,4.83,3.51,1.38,55.7,True,1,False,,,Other
Mountain View Police Dept,"Mountain View city, Missouri",place,municipal_police,9,55,1479,511.1,7.27,6.66,1.09,10.91,12.28,0.89,28.3,True,1,False,,,Other
Osage Beach Police Dept,"Osage Beach city, Missouri",place,municipal_police,12,48,4035,300.0,10.42,3.29,3.17,14.58,4.58,3.18,44.2,True,2,False,,,Other
City of California Police Dept,"City of California city, Missouri",place,municipal_police,51,34,247,-33.3,11.76,2.42,4.86,8.82,5.31,1.66,54.1,False,0,False,,,Other
St Louis County Police Dept,"St. Louis County, Missouri",county,municipal_police,146,338,35171,131.5,3.55,2.32,1.53,2.96,1.62,1.83,66.0,False,0,False,,,St. Louis County
Sugar Creek Police Dept,"Sugar Creek city, Missouri",place,municipal_police,21,108,2141,414.3,7.41,6.51,1.14,6.48,5.34,1.21,31.4,False,0,False,,,Other
Maryland Heights Police Dept,"Maryland Heights city, Missouri",place,municipal_police,129,369,13474,186.0,5.42,3.02,1.79,10.57,8.47,1.25,53.1,True,3,False,,,St. Louis County
Branson West Police Dept,"Branson West city, Missouri",place,municipal_police,35,42,1349,20.0,11.9,3.17,3.75,11.9,3.81,3.12,44.7,True,1,False,,,SW Missouri
Bates County Sheriff's Dept,"Bates County, Missouri",county,county_sheriff,13,40,845,207.7,0.0,3.34,0.0,17.5,12.43,1.41,31.7,True,1,False,,,Bates County
Claycomo Police Dept,"Claycomo city, Missouri",place,municipal_police,140,254,2652,81.4,3.15,2.38,1.32,7.48,5.15,1.45,25.0,False,0,False,,,KC Metro (Jackson/Clay)
North Kansas City Police Dept,"North Kansas City city, Missouri",place,municipal_police,379,508,4802,34.0,1.77,1.42,1.25,1.38,2.13,0.65,49.7,True,2,False,,,KC Metro (Jackson/Clay)
Warrenton Police Dept,"Warrenton city, Missouri",place,municipal_police,37,54,1563,45.9,3.7,1.8,2.06,7.41,5.32,1.39,52.6,False,0,False,,,Other
Chesterfield Police Dept,"Chesterfield city, Missouri",place,municipal_police,60,342,15120,470.0,7.6,1.9,4.0,2.05,1.76,1.16,53.3,True,2,False,,,St. Louis County
Ellisville Police Dept,"Ellisville city, Missouri",place,municipal_police,65,128,5216,96.9,2.34,0.5,4.68,1.56,0.33,4.73,59.5,True,4,False,,,Other
Oronogo Police Dept,"Oronogo city, Missouri",place,municipal_police,55,48,1268,-12.7,0.0,0.86,0.0,2.08,1.03,2.02,24.5,False,0,False,,,Other
Wayne County Sheriff's Dept,"Wayne County, Missouri",county,county_sheriff,24,34,686,41.7,0.0,0.19,0.0,0.0,2.7,0.0,15.4,False,0,False,,,Wayne County
Jasper County Sheriff's Dept,"Jasper County, Missouri",county,county_sheriff,328,376,5402,14.6,5.85,2.8,2.09,4.26,3.2,1.33,38.3,True,4,False,,,Jasper County
Kearney Police Dept,"Kearney city, Missouri",place,municipal_police,17,98,3034,476.5,0.0,1.35,0.0,1.02,2.71,0.38,57.0,True,1,False,,,Other
