agency,hisp_stops_2014,hisp_stops_2019,hisp_stops_2020,hisp_stops_2024,total_stops_2024,white_stops_2024,change_2014_2024,change_2019_2024,change_2020_2024,hisp_arrest_rate_2024,white_arrest_rate_2024,arrest_ratio_2024,hisp_search_rate_2024,white_search_rate_2024,search_ratio_2024
Andrew County Sheriff's Dept,10.0,,24.0,55,1819,1682,450.0,,129.2,5.45,3.21,1.7,7.27,7.73,0.94
Aurora Police Dept,61.0,36.0,57.0,86,1931,1805,41.0,138.9,50.9,1.16,4.32,0.27,2.33,5.93,0.39
Ballwin Police Dept,83.0,58.0,12.0,109,7221,5800,31.3,87.9,808.3,5.5,0.67,8.21,2.75,0.52,5.29
Bates County Sheriff's Dept,32.0,,13.0,40,845,748,25.0,,207.7,0.0,3.34,,17.5,12.43,1.41
Battlefield Police Dept,13.0,14.0,13.0,51,1825,1667,292.3,264.3,292.3,0.0,2.22,,0.0,2.82,
Belton Police Dept,282.0,229.0,203.0,222,3811,2524,-21.3,-3.1,9.4,33.33,10.86,3.07,20.27,7.49,2.71
Blue Springs Police Dept,156.0,143.0,63.0,304,10102,7724,94.9,112.6,382.5,0.99,2.81,0.35,0.66,1.79,0.37
Bolivar Police Dept,60.0,38.0,53.0,71,2512,2341,18.3,86.8,34.0,7.04,5.6,1.26,7.04,5.47,1.29
Boone County Sheriff's Dept,148.0,248.0,132.0,410,11974,7732,177.0,65.3,210.6,7.8,3.75,2.08,9.27,5.87,1.58
Boonville Police Dept,26.0,28.0,20.0,30,1431,1167,15.4,7.1,50.0,10.0,4.11,2.43,6.67,6.17,1.08
Bowling Green Police Dept,55.0,5.0,9.0,46,1544,1355,-16.4,820.0,411.1,8.7,3.76,2.31,15.22,9.37,1.62
Branson Police Dept,249.0,171.0,129.0,371,4792,4087,49.0,117.0,187.6,3.5,2.62,1.34,5.39,4.28,1.26
Branson West Police Dept,22.0,24.0,35.0,42,1349,1260,90.9,75.0,20.0,11.9,3.17,3.75,11.9,3.81,3.12
Bridgeton Police Dept,152.0,64.0,54.0,155,3655,1161,2.0,142.2,187.0,1.94,2.58,0.75,1.29,3.88,0.33
Brookfield Police Dept,7.0,22.0,30.0,46,1826,1686,557.1,109.1,53.3,0.0,0.89,,4.35,3.86,1.13
Caldwell County Sheriff's Dept,9.0,4.0,4.0,30,741,658,233.3,650.0,650.0,3.33,0.91,3.66,30.0,6.23,4.82
Callaway County Sheriff's Dept,15.0,22.0,38.0,55,2854,2366,266.7,150.0,44.7,7.27,8.37,0.87,12.73,14.84,0.86
Camdenton Police Dept,25.0,15.0,18.0,62,1374,1253,148.0,313.3,244.4,8.06,3.51,2.3,9.68,5.75,1.68
Cameron Police Dept,45.0,53.0,28.0,93,3320,3086,106.7,75.5,232.1,3.23,2.75,1.17,2.15,1.91,1.13
Cape Girardeau Co Sheriff's Dept,17.0,25.0,4.0,166,6659,4871,876.5,564.0,4050.0,2.41,2.03,1.19,3.61,5.69,0.63
Cape Girardeau Police Dept,50.0,104.0,55.0,145,5457,3648,190.0,39.4,163.6,2.07,1.4,1.48,4.83,3.51,1.38
Carthage Police Dept,840.0,543.0,301.0,691,6309,5388,-17.7,27.3,129.6,18.96,7.33,2.59,11.58,6.46,1.79
Cassville Police Dept,16.0,61.0,24.0,98,1695,1537,512.5,60.7,308.3,2.04,2.54,0.8,0.0,1.04,
Chesterfield Police Dept,69.0,198.0,60.0,342,15120,10866,395.7,72.7,470.0,7.6,1.9,4.0,2.05,1.76,1.16
Christian County Sheriff's Dept,21.0,130.0,102.0,129,7183,6732,514.3,-0.8,26.5,3.1,2.48,1.25,3.88,5.42,0.72
Clay County Sheriff's Dept,161.0,203.0,199.0,640,9512,6791,297.5,215.3,221.6,4.38,6.66,0.66,5.31,10.09,0.53
Claycomo Police Dept,63.0,149.0,140.0,254,2652,1552,303.2,70.5,81.4,3.15,2.38,1.32,7.48,5.15,1.45
Clayton Police Dept,43.0,34.0,15.0,144,4906,2581,234.9,323.5,860.0,0.69,1.08,0.64,2.08,1.9,1.09
Cleveland Police Dept,1.0,8.0,6.0,32,505,420,3100.0,300.0,433.3,0.0,3.57,,0.0,3.57,
Clinton Police Dept,24.0,41.0,53.0,64,2229,1923,166.7,56.1,20.8,0.0,1.14,,1.56,1.2,1.3
Cole County Sheriff's Dept,45.0,93.0,102.0,109,3470,2845,142.2,17.2,6.9,2.75,2.74,1.0,0.92,4.01,0.23
Columbia Police Dept,211.0,247.0,148.0,302,11853,7055,43.1,22.3,104.1,11.59,3.81,3.04,7.95,3.43,2.32
Cooper County Sheriff's Dept,5.0,8.0,5.0,41,1233,1002,720.0,412.5,720.0,4.88,4.49,1.09,9.76,11.58,0.84
Cottleville Police Dept,31.0,24.0,59.0,63,3148,2505,103.2,162.5,6.8,7.94,3.07,2.59,7.94,3.83,2.07
Crawford County Sheriff's Dept,5.0,17.0,18.0,106,2911,2589,2020.0,523.5,488.9,14.15,3.24,4.37,4.72,7.22,0.65
