year,source,geo_type,name,Total,White,Black,Hispanic,state_fips,county_fips,place_fips
2014,acs5,county,"Adair County, Missouri",25642,23547,538,615,29,001,
2014,acs5,county,"Andrew County, Missouri",17373,16586,137,352,29,003,
2014,acs5,county,"Atchison County, Missouri",5520,5357,30,64,29,005,
2014,acs5,county,"Audrain County, Missouri",25637,22630,1509,684,29,007,
2014,acs5,county,"Barry County, Missouri",35681,31332,18,2934,29,009,
2014,acs5,county,"Barton County, Missouri",12286,11509,27,271,29,011,
2014,acs5,county,"Bates County, Missouri",16780,15952,113,326,29,013,
2014,acs5,county,"Benton County, Missouri",18961,18128,51,318,29,015,
2014,acs5,county,"Bollinger County, Missouri",12394,12027,41,110,29,017,
2014,acs5,county,"Boone County, Missouri",168268,135326,14613,5259,29,019,
2014,acs5,county,"Buchanan County, Missouri",89536,76174,4275,5103,29,021,
2014,acs5,county,"Butler County, Missouri",42957,38519,2247,708,29,023,
2014,acs5,county,"Caldwell County, Missouri",9176,8755,68,164,29,025,
2014,acs5,county,"Callaway County, Missouri",44483,40290,1719,796,29,027,
2014,acs5,county,"Camden County, Missouri",43873,41655,200,1066,29,029,
2014,acs5,county,"Cape Girardeau County, Missouri",77031,67202,5657,1634,29,031,
2014,acs5,county,"Carroll County, Missouri",9157,8690,81,120,29,033,
2014,acs5,county,"Carter County, Missouri",6283,5955,37,119,29,035,
2014,acs5,county,"Cass County, Missouri",100339,89328,3717,4145,29,037,
2014,acs5,county,"Cedar County, Missouri",13912,13288,35,173,29,039,
2014,acs5,county,"Chariton County, Missouri",7727,7412,166,61,29,041,
2014,acs5,county,"Christian County, Missouri",79856,74963,528,2147,29,043,
2014,acs5,county,"Clark County, Missouri",7001,6821,34,33,29,045,
2014,acs5,county,"Clay County, Missouri",227984,189492,12036,14269,29,047,
2014,acs5,county,"Clinton County, Missouri",20545,19326,394,369,29,049,
2014,acs5,county,"Cole County, Missouri",76426,62672,8640,1985,29,051,
2014,acs5,county,"Cooper County, Missouri",17585,15651,1006,255,29,053,
2014,acs5,county,"Crawford County, Missouri",24680,23733,65,396,29,055,
2014,acs5,county,"Dade County, Missouri",7678,7256,43,130,29,057,
2014,acs5,county,"Dallas County, Missouri",16632,15760,8,288,29,059,
2014,acs5,county,"Daviess County, Missouri",8324,8049,59,107,29,061,
2014,acs5,county,"DeKalb County, Missouri",12824,10648,1384,244,29,063,
2014,acs5,county,"Dent County, Missouri",15681,14923,76,190,29,065,
2014,acs5,county,"Douglas County, Missouri",13575,13279,0,136,29,067,
2014,acs5,county,"Dunklin County, Missouri",31778,26052,3291,1887,29,069,
2014,acs5,county,"Franklin County, Missouri",101682,97228,1175,1561,29,071,
2014,acs5,county,"Gasconade County, Missouri",15014,14532,91,180,29,073,
2014,acs5,county,"Gentry County, Missouri",6792,6619,47,53,29,075,
2014,acs5,county,"Greene County, Missouri",280657,249670,8440,9040,29,077,
2014,acs5,county,"Grundy County, Missouri",10279,9816,66,118,29,079,
2014,acs5,county,"Harrison County, Missouri",8795,8452,76,163,29,081,
2014,acs5,county,"Henry County, Missouri",22134,20921,326,419,29,083,
2014,acs5,county,"Hickory County, Missouri",9420,9029,26,116,29,085,
2014,acs5,county,"Holt County, Missouri",4695,4550,30,13,29,087,
2014,acs5,county,"Howard County, Missouri",10183,9249,512,137,29,089,
2014,acs5,county,"Howell County, Missouri",40469,38438,114,735,29,091,
2014,acs5,county,"Iron County, Missouri",10424,9892,187,150,29,093,
2014,acs5,county,"Jackson County, Missouri",678167,426956,159940,57972,29,095,
2014,acs5,county,"Jasper County, Missouri",116996,99976,2506,8408,29,097,
2014,acs5,county,"Jefferson County, Missouri",220558,209644,1871,3748,29,099,
2014,acs5,county,"Johnson County, Missouri",53879,46871,2388,1946,29,101,
2014,acs5,county,"Knox County, Missouri",4078,3945,51,17,29,103,
2014,acs5,county,"Laclede County, Missouri",35544,33469,189,762,29,105,
2014,acs5,county,"Lafayette County, Missouri",33069,30621,697,802,29,107,
2014,acs5,county,"Lawrence County, Missouri",38306,34609,45,2577,29,109,
2014,acs5,county,"Lewis County, Missouri",10176,9425,269,166,29,111,
2014,acs5,county,"Lincoln County, Missouri",53458,50090,975,1108,29,113,
2014,acs5,county,"Linn County, Missouri",12494,11953,59,213,29,115,
2014,acs5,county,"Livingston County, Missouri",15034,14119,353,210,29,117,
2014,acs5,county,"Macon County, Missouri",15527,14643,434,174,29,121,
2014,acs5,county,"Madison County, Missouri",12353,11829,74,252,29,123,
2014,acs5,county,"Maries County, Missouri",9098,8782,27,95,29,125,
2014,acs5,county,"Marion County, Missouri",28844,26141,1515,434,29,127,
2014,acs5,county,"McDonald County, Missouri",22851,18238,299,2590,29,119,
2014,acs5,county,"Mercer County, Missouri",3735,3619,15,47,29,129,
