year,race,searches,contraband,hit_rate
2014,White,68620,18434,26.9
2014,Black,27381,5858,21.4
2014,Hispanic,3049,594,19.5
2015,White,66856,19768,29.6
2015,Black,24260,5933,24.5
2015,Hispanic,2870,605,21.1
2016,White,67546,22888,33.9
2016,Black,24533,7119,29.0
2016,Hispanic,2924,740,25.3
2017,White,69995,24829,35.5
2017,Black,25616,8422,32.9
2017,Hispanic,2904,810,27.9
2018,White,71168,25394,35.7
2018,Black,26448,8944,33.8
2018,Hispanic,2933,855,29.2
2019,White,72430,26019,35.9
2019,Black,26876,9359,34.8
2019,Hispanic,2961,845,28.5
2020,White,74478,20275,27.2
2020,Black,17882,7547,42.2
2020,Hispanic,2268,798,35.2
2021,White,60998,24355,39.9
2021,Black,19366,7967,41.1
2021,Hispanic,2504,857,34.2
2022,White,53976,20691,38.3
2022,Black,17303,7137,41.2
2022,Hispanic,2760,799,28.9
2023,White,45701,11652,25.5
2023,Black,12275,2521,20.5
2023,Hispanic,2739,446,16.3
2024,White,46038,10368,22.5
2024,Black,11651,2278,19.6
2024,Hispanic,2988,574,19.2
