Year,Ashland Police Dept,Boone County Sheriff's Dept,Boonville Police Dept,Callaway County Sheriff's Dept,Camdenton Police Dept,Centralia Police Dept,Cole County Sheriff's Dept,Columbia Police Dept,Cooper County Sheriff's Dept,Dent County Sheriff's Dept,Eldon Police Dept,Fulton Police Dept,Hallsville Police Dept,Jefferson City Police Dept,Miller County Sheriff's Dept,Phelps County Sheriff's Dept,Pulaski County Sheriff's Dept,Rolla Police Dept,St James Police Dept,St Robert Police Dept,Sturgeon Police Dept,Sunrise Beach Police Dept,Versailles Police Dept,Waynesville Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,47.4,98.4,132.1,153.2,147.8,122.6,100.7,83.6,63.6,90.0,88.9,82.2,45.6,161.1,154.5,184.6,148.0,81.4,121.2,57.7,110.0,83.9,72.7,143.8
2016,49.1,110.3,145.4,156.8,95.7,196.8,73.9,92.2,87.9,80.0,127.8,91.9,19.3,153.3,190.9,307.7,106.0,115.1,26.9,,40.0,,72.7,103.3
2017,37.9,126.8,157.8,157.7,69.6,296.8,107.8,101.4,115.2,100.0,155.6,84.7,50.9,150.9,390.9,284.6,54.0,106.6,19.2,85.4,10.0,67.7,127.3,88.8
2018,25.9,146.1,121.2,177.5,104.3,254.8,160.7,121.5,206.1,90.0,205.6,68.3,63.2,118.9,409.1,118.5,120.0,89.6,23.1,83.7,40.0,19.4,90.9,121.6
2019,33.6,176.7,122.5,173.9,104.3,329.0,155.3,131.1,115.2,100.0,127.8,74.1,71.9,110.7,627.3,173.8,138.0,67.8,28.8,58.4,130.0,22.6,163.6,127.1
2020,120.7,98.3,98.7,230.6,113.0,206.5,184.7,68.2,175.8,90.0,166.7,59.5,57.9,82.4,463.6,213.8,78.0,79.5,53.8,68.5,110.0,38.7,154.5,131.3
2021,169.8,114.9,95.5,230.6,230.4,125.8,170.8,53.1,230.3,120.0,88.9,71.8,42.1,77.5,354.5,281.5,88.0,98.1,57.7,84.2,,35.5,145.5,167.2
2022,213.8,118.6,80.9,215.3,173.9,251.6,151.9,50.1,390.9,90.0,72.2,73.0,57.9,85.1,518.2,350.8,36.0,103.5,178.8,67.2,30.0,25.8,90.9,159.0
2023,102.6,168.5,69.5,336.0,152.2,183.9,141.0,36.0,484.8,90.0,233.3,81.1,84.2,105.5,627.3,329.2,68.0,73.8,167.3,58.8,100.0,48.4,81.8,144.7
2024,171.6,196.7,52.5,366.7,191.3,190.3,153.6,103.0,481.8,70.0,88.9,110.8,256.1,125.4,718.2,292.3,,96.8,180.8,68.9,,100.0,,153.5
