Year,Adair County Sheriff's Dept,Audrain County Sheriff's Dept,Bowling Green Police Dept,Brookfield Police Dept,Clark County Sheriff's Dept,Hannibal Police Dept,Howard County Sheriff's Dept,Kirksville Police Dept,Lewis County Sheriff's Dept,Marion County Sheriff's Dept,Mexico Police Dept,Moberly Police Dept,Monroe County Sheriff's Dept,Pike County Sheriff's Dept,Ralls County Sheriff's Dept,Randolph County Sheriff's Dept,Vandalia Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,95.5,133.3,130.9,233.3,113.8,154.9,26.5,84.0,111.5,215.2,115.1,82.9,226.7,99.2,236.4,170.0,42.9
2016,154.5,206.7,120.0,247.6,77.6,142.7,55.6,137.3,142.3,212.1,93.9,115.7,200.0,32.1,231.8,230.0,52.7
2017,195.5,313.3,94.5,276.2,86.2,151.1,19.8,105.3,138.5,393.9,101.7,122.6,273.3,29.8,404.5,170.0,96.4
2018,154.5,284.4,118.2,366.7,119.0,110.3,41.4,160.0,50.0,397.0,100.6,115.0,140.0,37.4,518.2,120.0,114.3
2019,163.6,226.7,65.5,295.2,119.0,152.7,33.3,218.7,134.6,339.4,114.5,92.3,166.7,16.8,,50.0,12.5
2020,77.3,193.3,132.7,357.1,169.0,89.7,17.3,138.7,57.7,251.5,154.2,69.0,73.3,17.6,268.2,220.0,
2021,295.5,195.6,114.5,419.0,156.9,84.9,19.8,242.7,65.4,354.5,107.8,90.9,100.0,45.8,90.9,1090.0,
2022,109.1,208.9,114.5,242.9,100.0,95.1,64.8,201.3,73.1,260.6,78.2,50.9,133.3,84.7,136.4,70.0,
2023,113.6,220.0,194.5,471.4,67.2,93.8,49.4,264.0,88.5,257.6,67.0,62.4,280.0,61.1,227.3,810.0,
2024,86.4,202.2,236.4,300.0,,136.8,29.6,238.7,126.9,387.9,,86.8,140.0,67.9,222.7,1290.0,
