Year,Andrew County Sheriff's Dept,Buchanan County Sheriff's Dept,Caldwell County Sheriff's Dept,Chillicothe Police Dept,Daviess County Sheriff's Dept,Livingston County Sheriff's Dept,Maryville Dept of Public Safety,Nodaway County Sheriff's Dept,St Joseph Police Dept,Trenton Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,65.0,143.4,50.0,97.5,178.6,131.2,101.1,105.6,94.3,133.3
2016,145.0,190.6,103.8,122.5,300.0,300.0,106.5,100.0,126.6,141.7
2017,95.0,102.8,19.2,87.5,121.4,375.0,82.7,238.9,88.0,75.0
2018,170.0,111.3,23.1,190.0,278.6,575.0,71.9,105.6,113.7,66.7
2019,,169.8,23.1,4030.0,128.6,,94.1,111.1,122.7,83.3
2020,195.0,234.0,23.1,132.5,342.9,681.2,69.7,44.4,106.0,41.7
2021,315.0,140.6,57.7,185.0,435.7,712.5,71.4,38.9,90.7,33.3
2022,240.0,157.5,130.8,207.5,285.7,481.2,70.3,61.1,83.5,91.7
2023,260.0,240.6,153.8,150.0,264.3,850.0,59.5,83.3,87.6,141.7
2024,260.0,453.8,173.1,122.5,200.0,475.0,33.0,,89.3,
