Agency,Region,Year,Stops,Indexed
Ashland Police Dept,Central,2014,116,100.0
Ashland Police Dept,Central,2015,55,47.4
Ashland Police Dept,Central,2016,57,49.1
Ashland Police Dept,Central,2017,44,37.9
Ashland Police Dept,Central,2018,30,25.9
Ashland Police Dept,Central,2019,39,33.6
Ashland Police Dept,Central,2020,140,120.7
Ashland Police Dept,Central,2021,197,169.8
Ashland Police Dept,Central,2022,248,213.8
Ashland Police Dept,Central,2023,119,102.6
Ashland Police Dept,Central,2024,199,171.6
Boone County Sheriff's Dept,Central,2014,1764,100.0
Boone County Sheriff's Dept,Central,2015,1735,98.4
Boone County Sheriff's Dept,Central,2016,1945,110.3
Boone County Sheriff's Dept,Central,2017,2236,126.8
Boone County Sheriff's Dept,Central,2018,2577,146.1
Boone County Sheriff's Dept,Central,2019,3117,176.7
Boone County Sheriff's Dept,Central,2020,1734,98.3
Boone County Sheriff's Dept,Central,2021,2026,114.9
Boone County Sheriff's Dept,Central,2022,2092,118.6
Boone County Sheriff's Dept,Central,2023,2973,168.5
Boone County Sheriff's Dept,Central,2024,3469,196.7
Boonville Police Dept,Central,2014,377,100.0
Boonville Police Dept,Central,2015,498,132.1
Boonville Police Dept,Central,2016,548,145.4
Boonville Police Dept,Central,2017,595,157.8
Boonville Police Dept,Central,2018,457,121.2
Boonville Police Dept,Central,2019,462,122.5
Boonville Police Dept,Central,2020,372,98.7
Boonville Police Dept,Central,2021,360,95.5
Boonville Police Dept,Central,2022,305,80.9
Boonville Police Dept,Central,2023,262,69.5
Boonville Police Dept,Central,2024,198,52.5
Callaway County Sheriff's Dept,Central,2014,111,100.0
Callaway County Sheriff's Dept,Central,2015,170,153.2
Callaway County Sheriff's Dept,Central,2016,174,156.8
Callaway County Sheriff's Dept,Central,2017,175,157.7
Callaway County Sheriff's Dept,Central,2018,197,177.5
Callaway County Sheriff's Dept,Central,2019,193,173.9
Callaway County Sheriff's Dept,Central,2020,256,230.6
Callaway County Sheriff's Dept,Central,2021,256,230.6
Callaway County Sheriff's Dept,Central,2022,239,215.3
Callaway County Sheriff's Dept,Central,2023,373,336.0
Callaway County Sheriff's Dept,Central,2024,407,366.7
Camdenton Police Dept,Central,2014,23,100.0
Camdenton Police Dept,Central,2015,34,147.8
Camdenton Police Dept,Central,2016,22,95.7
Camdenton Police Dept,Central,2017,16,69.6
Camdenton Police Dept,Central,2018,24,104.3
Camdenton Police Dept,Central,2019,24,104.3
Camdenton Police Dept,Central,2020,26,113.0
Camdenton Police Dept,Central,2021,53,230.4
Camdenton Police Dept,Central,2022,40,173.9
Camdenton Police Dept,Central,2023,35,152.2
Camdenton Police Dept,Central,2024,44,191.3
Centralia Police Dept,Central,2014,31,100.0
Centralia Police Dept,Central,2015,38,122.6
Centralia Police Dept,Central,2016,61,196.8
Centralia Police Dept,Central,2017,92,296.8
Centralia Police Dept,Central,2018,79,254.8
Centralia Police Dept,Central,2019,102,329.0
Centralia Police Dept,Central,2020,64,206.5
Centralia Police Dept,Central,2021,39,125.8
Centralia Police Dept,Central,2022,78,251.6
Centralia Police Dept,Central,2023,57,183.9
Centralia Police Dept,Central,2024,59,190.3
Cole County Sheriff's Dept,Central,2014,295,100.0
Cole County Sheriff's Dept,Central,2015,297,100.7
Cole County Sheriff's Dept,Central,2016,218,73.9
Cole County Sheriff's Dept,Central,2017,318,107.8
Cole County Sheriff's Dept,Central,2018,474,160.7
Cole County Sheriff's Dept,Central,2019,458,155.3
Cole County Sheriff's Dept,Central,2020,545,184.7
Cole County Sheriff's Dept,Central,2021,504,170.8
Cole County Sheriff's Dept,Central,2022,448,151.9
Cole County Sheriff's Dept,Central,2023,416,141.0
Cole County Sheriff's Dept,Central,2024,453,153.6
Columbia Police Dept,Central,2014,4004,100.0
Columbia Police Dept,Central,2015,3348,83.6
Columbia Police Dept,Central,2016,3691,92.2
Columbia Police Dept,Central,2017,4062,101.4
Columbia Police Dept,Central,2018,4866,121.5
Columbia Police Dept,Central,2019,5250,131.1
Columbia Police Dept,Central,2020,2732,68.2
Columbia Police Dept,Central,2021,2127,53.1
Columbia Police Dept,Central,2022,2007,50.1
Columbia Police Dept,Central,2023,1443,36.0
Columbia Police Dept,Central,2024,4126,103.0
Cooper County Sheriff's Dept,Central,2014,33,100.0
Cooper County Sheriff's Dept,Central,2015,21,63.6
Cooper County Sheriff's Dept,Central,2016,29,87.9
Cooper County Sheriff's Dept,Central,2017,38,115.2
Cooper County Sheriff's Dept,Central,2018,68,206.1
Cooper County Sheriff's Dept,Central,2019,38,115.2
Cooper County Sheriff's Dept,Central,2020,58,175.8
Cooper County Sheriff's Dept,Central,2021,76,230.3
