Year,Anderson Police Dept,Battlefield Police Dept,Billings Police Dept,Bolivar Police Dept,Branson Police Dept,Branson West Police Dept,Cabool Police Dept,Carl Junction Police Dept,Carterville Police Dept,Carthage Police Dept,Christian County Sheriff's Dept,Clinton Police Dept,Greene County Sheriff's Dept,Henry County Sheriff's Dept,Hollister Police Dept,Houston Police Dept,Jasper County Sheriff's Dept,Joplin Police Dept,Kimberling City Police Dept,Lawrence County Sheriff's Dept,Lebanon Police Dept,McDonald County Sheriff's Dept,Monett Police Dept,Mount Vernon Police Dept,Mountain Grove Police Dept,Neosho Police Dept,Nevada Police Dept,Newton County Sheriff's Dept,Nixa Police Dept,Noel Police Dept,Ozark Police Dept,Pineville Police Dept,Polk County Sheriff's Dept,Republic Police Dept,Seymour Police Dept,Springfield Police Dept,Stone County Sheriff's Dept,Strafford Police Dept,Taney County Sheriff's Dept,Vernon County Sheriff's Dept,Webb City Police Dept,Webster County Sheriff's Dept,Willard Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,145.5,91.3,72.2,119.8,74.5,95.2,113.3,78.0,57.1,127.3,373.3,161.5,103.7,75.6,223.5,180.0,146.1,74.8,125.0,95.8,127.6,50.0,88.9,68.4,41.7,238.5,79.3,132.8,133.7,90.0,126.9,223.1,1154.5,219.1,50.0,111.6,81.8,143.2,69.2,273.7,95.8,80.0,96.3
2016,18.2,78.3,127.8,136.8,38.8,147.6,180.0,186.0,62.9,123.0,893.3,100.0,118.4,211.1,176.5,240.0,174.7,72.3,300.0,116.7,124.1,91.7,88.9,100.0,116.7,307.7,110.3,207.8,176.0,86.7,87.3,271.2,1318.2,244.7,50.0,113.3,63.6,64.9,169.2,284.2,147.9,105.0,59.3
2017,90.9,108.7,116.7,129.2,42.3,90.5,266.7,106.0,122.9,106.8,1626.7,150.0,128.8,195.6,117.6,340.0,166.9,70.8,158.3,366.7,79.3,8.3,133.3,110.5,91.7,376.9,86.2,370.3,245.2,620.0,68.7,209.6,718.2,261.7,60.0,106.2,90.9,56.8,138.5,242.1,218.3,75.0,170.4
2018,218.2,169.6,44.4,114.2,44.4,109.5,326.7,138.0,171.4,146.6,1666.7,88.5,129.0,255.6,252.9,400.0,166.9,51.3,233.3,108.3,151.7,25.0,122.2,121.1,125.0,407.7,182.8,225.0,232.7,213.3,90.3,259.6,327.3,285.1,60.0,133.2,136.4,83.8,200.0,163.2,173.2,85.0,155.6
2019,145.5,143.5,11.1,106.6,63.3,119.0,166.7,96.0,251.4,105.0,1333.3,211.5,128.0,,464.7,370.0,150.0,63.0,133.3,,165.5,41.7,166.7,152.6,125.0,400.0,172.4,90.6,360.6,173.3,98.5,109.6,218.2,297.9,70.0,121.2,45.5,67.6,196.2,257.9,219.7,,203.7
2020,154.5,165.2,22.2,103.8,51.0,100.0,120.0,102.0,151.4,60.9,986.7,250.0,129.2,60.0,405.9,220.0,133.7,57.1,125.0,100.0,96.6,83.3,88.9,126.3,200.0,138.5,124.1,173.4,238.5,123.3,107.5,98.1,154.5,293.6,90.0,106.3,100.0,48.6,211.5,178.9,197.2,180.0,229.6
2021,190.9,182.6,11.1,88.7,39.8,119.0,200.0,56.0,85.7,149.7,1006.7,294.2,126.4,146.7,582.4,310.0,115.7,44.6,125.0,91.7,110.3,75.0,111.1,115.8,216.7,146.2,144.8,140.6,317.3,126.7,129.1,100.0,209.1,291.5,160.0,64.4,90.9,35.1,350.0,242.1,152.1,225.0,70.4
2022,300.0,134.8,33.3,55.7,61.2,114.3,260.0,88.0,131.4,132.3,986.7,207.7,151.5,171.1,141.2,460.0,139.9,50.9,233.3,116.7,110.3,150.0,183.3,126.3,183.3,315.4,237.9,162.5,296.2,160.0,140.3,,200.0,663.8,390.0,72.0,136.4,159.5,203.8,247.4,97.2,190.0,70.4
2023,290.9,239.1,,64.2,105.1,152.4,446.7,82.0,77.1,109.9,986.7,423.1,158.0,237.8,158.8,530.0,113.5,76.1,316.7,266.7,244.8,125.0,333.3,89.5,341.7,376.9,217.2,268.8,332.7,53.3,187.3,115.4,118.2,710.6,390.0,96.9,118.2,151.4,423.1,352.6,349.3,220.0,148.1
2024,,343.5,66.7,67.9,137.8,176.2,366.7,24.0,91.4,119.3,1413.3,232.7,149.4,193.3,247.1,500.0,123.6,59.8,266.7,283.3,144.8,,,52.6,441.7,446.2,,239.1,,26.7,203.0,88.5,,789.4,360.0,88.7,,83.8,423.1,,494.4,325.0,211.1
