Year,Arnold Police Dept,Ballwin Police Dept,Bel-Ridge Police Dept,Bella Villa Police Dept,Berkeley Police Dept,Breckenridge Hills Police Dept,Bridgeton Police Dept,Calverton Park Police Dept,Charlack Police Dept,Chesterfield Police Dept,Clayton Police Dept,Country Club Hills Police Dept,Crestwood Police Dept,Creve Coeur Police Dept,Crystal City Police Dept,Des Peres Police Dept,Desloge Police Dept,Edmundson Police Dept,Elsberry Police Dept,Eureka Police Dept,Farmington Police Dept,Ferguson Police Dept,Festus Police Dept,Florissant Police Dept,Foristell Police Dept,Franklin County Sheriff's Dept,Frontenac Police Dept,Glendale Police Dept,Hazelwood Police Dept,Herculaneum Police Dept,Jefferson County Sheriff's Dept,Kinloch Police Dept,Kirkwood Police Dept,Ladue Police Dept,Lake St Louis Police Dept,Lincoln County Sheriff's Dept,Manchester Police Dept,Maplewood Police Dept,Maryland Heights Police Dept,Moline Acres Police Dept,Normandy Police Dept,Northwoods Police Dept,O'Fallon Police Dept,Olivette Police Dept,Overland Police Dept,Pacific Police Dept,Pagedale Police Dept,Park Hills Police Dept,Pine Lawn Police Dept,Richmond Heights Police Dept,Rock Hill Police Dept,Shrewsbury Police Dept,St Ann Police Dept,St Charles County Sheriff's Dept,St Charles Police Dept,St John Police Dept,St Louis City Police Dept,St Louis County Police Dept,St Peters Police Dept,Sullivan Police Dept,Sunset Hills Police Dept,Sycamore Hills Police Dept,Town and Country Police Dept,Troy Police Dept,Union Police Dept,University City Police Dept,Velda City Police Dept,Vinita Park Police Dept,Warren County Sheriff's Dept,Warrenton Police Dept,Warson Woods Police Dept,Washington Police Dept,Webster Groves Police Dept,Wentzville Police Dept,Woodson Terrace Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,109.7,139.7,100.3,82.3,35.1,94.6,81.4,103.7,81.6,74.7,92.9,,155.2,82.1,107.1,71.0,65.0,54.9,171.1,205.9,163.3,28.1,126.1,83.5,71.5,93.3,43.3,99.5,76.4,109.6,80.6,3.8,104.5,55.8,118.5,83.0,100.0,73.6,114.5,62.0,92.1,95.5,120.3,98.5,96.9,78.0,53.4,127.3,45.0,62.9,92.4,90.8,89.8,0.2,124.5,99.4,91.3,105.1,107.3,136.4,147.9,210.5,88.8,155.3,112.5,96.9,139.0,115.1,110.9,131.6,58.3,78.1,112.1,97.2,105.4
2016,124.8,129.0,115.1,83.2,44.4,102.8,97.3,142.8,,109.6,71.2,16.9,171.1,73.2,143.7,29.0,70.0,77.3,123.7,197.1,170.0,28.9,165.4,81.4,74.8,108.6,40.7,68.7,82.2,155.8,122.3,,84.2,48.2,89.3,207.4,89.7,45.6,100.8,78.3,74.7,113.0,119.4,102.8,65.2,180.0,67.4,163.6,,33.1,95.0,108.1,125.1,0.8,94.1,125.5,85.5,124.1,91.7,218.2,169.2,197.4,88.3,176.1,119.2,120.3,50.9,504.2,142.2,121.4,108.3,101.5,146.4,101.3,131.3
2017,160.2,184.5,104.6,82.3,8.6,67.4,128.9,116.2,,112.1,70.3,4.8,156.7,64.6,157.1,47.7,45.0,87.0,63.2,241.2,183.3,32.3,85.0,151.4,67.8,195.1,85.5,108.9,115.2,98.1,114.9,,82.4,48.9,95.2,233.0,109.2,51.6,94.2,57.9,140.6,,147.4,97.4,56.3,162.0,159.9,100.0,,43.2,113.4,135.0,111.7,0.5,106.1,117.4,75.5,104.7,94.5,136.4,220.0,205.3,125.4,154.7,157.7,157.2,70.0,756.8,210.9,107.7,91.7,73.7,187.2,109.9,215.6
2018,127.6,189.9,281.6,113.3,57.4,,118.6,109.8,,163.0,77.6,28.0,183.0,77.4,194.4,61.4,30.0,65.6,68.4,214.7,223.3,51.0,62.1,156.6,55.6,314.1,104.1,93.5,158.6,71.2,155.4,,148.8,38.6,71.4,291.5,115.3,41.6,111.3,37.5,112.9,,126.9,94.7,68.3,118.0,181.2,90.9,,67.4,65.2,140.3,75.4,0.4,125.4,111.7,96.4,105.1,109.8,181.8,207.5,78.9,119.4,162.3,132.7,173.5,177.4,476.7,178.1,159.8,216.7,45.3,220.3,130.9,370.1
2019,132.6,148.2,155.7,104.9,57.2,124.2,83.6,85.3,,179.5,54.4,17.0,236.1,109.6,114.3,90.3,140.0,73.2,47.4,235.3,225.0,51.1,61.4,158.5,44.8,243.6,81.0,79.9,165.3,136.5,213.2,,115.2,36.2,76.5,255.3,152.7,74.6,87.8,51.9,104.0,251.7,240.0,88.8,90.4,16.0,181.2,122.7,,70.3,90.8,140.6,93.5,0.6,130.4,100.6,101.8,98.0,91.3,118.2,145.0,,106.6,138.4,66.3,162.6,121.7,525.6,4153.1,167.5,225.0,51.8,224.6,171.9,139.1
2020,88.6,107.6,29.0,111.4,49.4,,59.3,53.8,,140.6,45.1,1.5,80.9,98.2,73.0,78.4,35.0,95.0,71.1,123.5,235.0,11.4,81.7,122.3,34.5,236.2,54.4,52.3,105.4,205.8,198.3,,50.7,62.1,66.6,121.3,100.8,31.6,62.5,63.6,34.8,53.7,294.5,72.4,50.3,88.0,90.5,140.9,,81.1,62.9,121.9,26.2,2.4,88.3,37.6,51.8,49.3,43.6,63.6,95.8,,114.8,104.4,34.6,207.0,104.9,237.5,131.2,126.5,50.0,41.6,70.4,110.8,82.7
2021,101.9,198.6,,44.3,33.2,,93.2,43.2,,142.0,89.9,2.1,190.7,85.6,84.9,73.3,45.0,86.3,,261.8,300.0,,66.7,182.1,36.2,236.2,106.0,47.2,120.4,175.0,192.6,,49.3,59.8,74.8,113.8,234.4,21.6,74.6,35.7,43.0,97.7,201.7,60.3,62.3,150.0,88.2,177.3,,128.4,73.0,57.6,29.2,2.3,118.0,43.5,77.5,53.8,118.9,100.0,116.3,,145.9,103.8,41.3,218.8,154.0,395.6,220.3,130.8,33.3,52.6,76.5,138.2,68.0
2022,102.8,206.8,23.6,25.2,38.8,94.6,55.5,57.3,,245.7,103.8,,68.6,91.1,107.9,100.6,125.0,91.2,10.5,652.9,290.0,13.5,141.8,145.3,41.1,211.7,162.0,55.6,112.8,115.4,265.3,,106.4,63.7,110.9,302.1,206.1,23.6,98.5,,16.5,107.0,220.5,45.0,80.7,196.0,49.9,218.2,21.2,211.4,27.7,67.7,47.2,1.2,141.9,40.2,49.8,64.5,105.1,190.9,160.4,352.6,168.8,167.3,53.8,125.9,58.7,114.5,303.1,94.0,133.3,77.4,134.3,150.1,101.4
2023,118.9,204.2,50.7,32.6,,91.8,67.9,53.3,,217.2,102.7,,144.3,135.7,157.1,141.5,105.0,115.6,5.3,526.5,,38.1,88.9,131.6,40.1,155.8,107.2,86.4,122.8,284.6,383.1,,113.5,67.5,102.6,310.6,309.9,,143.2,7.6,46.1,115.7,242.9,65.9,82.0,202.0,126.9,250.0,,171.8,24.6,81.0,81.5,2.2,159.4,45.7,43.4,77.2,115.7,281.8,245.8,,132.4,118.9,67.3,130.7,62.5,84.1,293.8,66.7,158.3,94.2,129.1,173.7,138.4
