Year,Bates County Sheriff's Dept,Belton Police Dept,Blue Springs Police Dept,Buckner Police Dept,Butler Police Dept,Cameron Police Dept,Clay County Sheriff's Dept,Claycomo Police Dept,Excelsior Springs Police Dept,Gladstone Dept of Public Safety,Grain Valley Police Dept,Grandview Police Dept,Greenwood Police Dept,Harrisonville Police Dept,Higginsville Police Dept,Independence Police Dept,Jackson County Sheriff's Dept,Johnson County Sheriff's Dept,Kansas City Police Dept,Kearney Police Dept,Knob Noster Police Dept,Lafayette County Sheriff's Dept,Lake Lotawana Police Dept,Lake Tapawingo Police Dept,Lee's Summit Police Dept,Liberty Police Dept,Lone Jack Police Dept,Marshall Police Dept,North Kansas City Police Dept,Oak Grove Police Dept,Peculiar Police Dept,Pettis County Sheriff's Dept,Platte City Police Dept,Platte County Sheriff's Dept,Pleasant Valley Police Dept,Randolph Police Dept,Raymore Police Dept,Raytown Police Dept,Riverside Dept of Public Safety,Saline County Sheriff's Dept,Sedalia Police Dept,Smithville Police Dept,Sugar Creek Police Dept,Warrensburg Police Dept,Weatherby Lake Police Dept,Weston Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,53.1,72.0,138.5,83.3,169.2,62.2,98.1,76.2,103.3,81.8,27.5,88.4,63.3,109.7,70.4,101.1,104.1,113.6,102.9,50.0,105.0,118.4,56.2,36.4,80.5,83.3,81.3,129.0,87.1,119.0,115.0,104.7,39.5,125.1,87.7,106.7,100.0,51.8,68.9,57.1,69.3,104.9,195.2,150.0,168.4,87.5
2016,31.2,139.4,134.0,110.0,169.2,68.9,92.5,117.5,71.7,90.4,17.6,50.6,156.7,180.6,85.2,108.2,108.8,95.5,139.1,75.0,130.0,78.9,43.8,36.4,90.8,65.4,81.3,187.0,105.3,85.7,115.0,130.2,39.5,58.3,78.9,,120.7,66.2,99.6,152.4,75.4,126.8,188.1,342.9,215.8,93.8
2017,56.2,142.9,116.7,63.3,107.7,113.3,102.5,317.5,101.7,133.2,39.2,94.2,203.3,138.7,66.7,92.9,43.2,150.0,127.7,47.2,255.0,207.9,62.5,118.2,87.6,61.5,109.3,110.4,94.9,47.6,165.0,209.3,53.5,70.3,119.3,,140.2,46.7,,233.3,96.4,173.2,185.7,385.7,136.8,75.0
2018,68.8,107.4,111.5,53.3,84.6,100.0,137.9,230.2,103.3,108.0,66.7,74.7,53.3,241.9,107.4,107.7,24.0,140.9,137.9,69.4,215.0,147.4,75.0,263.6,97.8,83.3,84.0,153.4,108.7,66.7,105.0,188.4,62.8,76.7,170.2,,142.5,16.9,,119.0,85.9,129.3,126.2,235.7,168.4,93.8
2019,,81.2,91.7,26.7,,117.8,126.1,236.5,180.0,91.4,49.0,130.2,60.0,141.9,148.1,113.8,37.5,,138.3,61.1,240.0,178.9,87.5,290.9,82.2,64.1,40.0,160.1,109.6,33.3,125.0,190.7,44.2,85.2,166.7,,202.3,29.7,,157.1,105.9,136.6,188.1,485.7,168.4,68.8
2020,40.6,72.0,40.4,23.3,69.2,62.2,123.6,222.2,115.0,61.5,35.3,122.0,,161.3,140.7,68.8,3.8,131.8,118.5,47.2,10.0,118.4,181.2,272.7,28.1,44.9,13.3,157.5,106.5,14.3,150.0,234.9,39.5,1.8,75.4,,123.0,28.2,,166.7,79.5,34.1,50.0,242.9,147.4,12.5
2021,40.6,93.3,36.5,26.7,,108.9,152.2,149.2,91.7,34.8,,94.2,,119.4,188.9,71.7,3.6,309.1,76.6,36.1,285.0,144.7,287.5,263.6,35.1,47.4,18.7,168.4,122.8,23.8,250.0,200.0,41.9,0.7,75.4,,102.3,33.8,,257.1,163.9,36.6,31.0,357.1,126.3,25.0
2022,78.1,123.8,94.9,70.0,23.1,162.2,230.4,198.4,40.0,10.7,80.4,82.6,,80.6,181.5,109.3,5.8,213.6,57.7,63.9,175.0,210.5,156.2,63.6,108.1,53.8,1.3,166.3,152.0,28.6,335.0,365.1,32.6,6.0,121.1,,167.8,24.6,,190.5,159.3,22.0,54.8,350.0,5.3,43.8
2023,100.0,134.0,137.8,60.0,92.3,164.4,291.9,,118.3,39.6,100.0,91.5,40.0,100.0,229.6,152.1,5.4,290.9,68.2,213.9,,265.8,431.2,145.5,154.1,107.7,10.7,150.8,156.7,23.8,335.0,255.8,76.7,6.0,146.5,,211.5,24.6,,,137.9,14.6,,428.6,,
2024,125.0,78.7,194.9,,223.1,206.7,397.5,403.2,,101.6,137.3,92.4,80.0,,233.3,164.8,21.1,568.2,113.6,272.2,235.0,326.3,287.5,81.8,225.9,97.4,13.3,152.3,142.7,38.1,430.0,293.0,79.1,7.4,129.8,,321.8,12.8,,500.0,158.3,9.8,257.1,414.3,526.3,25.0
