Year,Adair County Sheriff's Dept,Bowling Green Police Dept,Clark County Sheriff's Dept,Hannibal Police Dept,Kirksville Police Dept,Mexico Police Dept,Milan Police Dept,Moberly Police Dept,Pike County Sheriff's Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,86.7,16.4,135.7,167.6,82.6,94.6,91.7,90.5,100.0
2016,100.0,18.2,107.1,164.7,113.0,89.2,20.8,38.1,18.8
2017,113.3,12.7,85.7,147.1,69.6,102.7,116.7,52.4,31.2
2018,93.3,18.2,42.9,91.2,78.3,86.5,120.8,52.4,31.2
2019,173.3,9.1,228.6,188.2,117.4,118.9,170.8,76.2,18.8
2020,46.7,16.4,321.4,85.3,95.7,164.9,141.7,52.4,25.0
2021,180.0,16.4,300.0,79.4,169.6,116.2,158.3,71.4,62.5
2022,33.3,25.5,135.7,35.3,113.0,73.0,262.5,61.9,137.5
2023,53.3,52.7,92.9,155.9,204.3,89.2,95.8,123.8,131.2
2024,46.7,83.6,,226.5,187.0,,258.3,171.4,125.0
