Agency,Region,Year,Stops,Indexed
Ashland Police Dept,Central,2014,21,100.0
Ashland Police Dept,Central,2015,18,85.7
Ashland Police Dept,Central,2016,21,100.0
Ashland Police Dept,Central,2017,18,85.7
Ashland Police Dept,Central,2018,21,100.0
Ashland Police Dept,Central,2019,14,66.7
Ashland Police Dept,Central,2020,20,95.2
Ashland Police Dept,Central,2021,28,133.3
Ashland Police Dept,Central,2022,26,123.8
Ashland Police Dept,Central,2023,16,76.2
Ashland Police Dept,Central,2024,23,109.5
Boone County Sheriff's Dept,Central,2014,148,100.0
Boone County Sheriff's Dept,Central,2015,139,93.9
Boone County Sheriff's Dept,Central,2016,154,104.1
Boone County Sheriff's Dept,Central,2017,156,105.4
Boone County Sheriff's Dept,Central,2018,246,166.2
Boone County Sheriff's Dept,Central,2019,248,167.6
Boone County Sheriff's Dept,Central,2020,132,89.2
Boone County Sheriff's Dept,Central,2021,154,104.1
Boone County Sheriff's Dept,Central,2022,184,124.3
Boone County Sheriff's Dept,Central,2023,265,179.1
Boone County Sheriff's Dept,Central,2024,410,277.0
Boonville Police Dept,Central,2014,26,100.0
Boonville Police Dept,Central,2015,33,126.9
Boonville Police Dept,Central,2016,43,165.4
Boonville Police Dept,Central,2017,64,246.2
Boonville Police Dept,Central,2018,32,123.1
Boonville Police Dept,Central,2019,28,107.7
Boonville Police Dept,Central,2020,20,76.9
Boonville Police Dept,Central,2021,19,73.1
Boonville Police Dept,Central,2022,21,80.8
Boonville Police Dept,Central,2023,17,65.4
Boonville Police Dept,Central,2024,30,115.4
California Police Dept,Central,2014,15,100.0
California Police Dept,Central,2015,24,160.0
California Police Dept,Central,2016,43,286.7
California Police Dept,Central,2017,26,173.3
California Police Dept,Central,2018,20,133.3
Callaway County Sheriff's Dept,Central,2014,15,100.0
Callaway County Sheriff's Dept,Central,2015,23,153.3
Callaway County Sheriff's Dept,Central,2016,29,193.3
Callaway County Sheriff's Dept,Central,2017,20,133.3
Callaway County Sheriff's Dept,Central,2018,15,100.0
Callaway County Sheriff's Dept,Central,2019,22,146.7
Callaway County Sheriff's Dept,Central,2020,38,253.3
Callaway County Sheriff's Dept,Central,2021,38,253.3
Callaway County Sheriff's Dept,Central,2022,35,233.3
Callaway County Sheriff's Dept,Central,2023,46,306.7
Callaway County Sheriff's Dept,Central,2024,55,366.7
Camdenton Police Dept,Central,2014,25,100.0
Camdenton Police Dept,Central,2015,44,176.0
Camdenton Police Dept,Central,2016,29,116.0
Camdenton Police Dept,Central,2017,14,56.0
Camdenton Police Dept,Central,2018,19,76.0
Camdenton Police Dept,Central,2019,15,60.0
Camdenton Police Dept,Central,2020,18,72.0
Camdenton Police Dept,Central,2021,37,148.0
Camdenton Police Dept,Central,2022,31,124.0
Camdenton Police Dept,Central,2023,42,168.0
Camdenton Police Dept,Central,2024,62,248.0
Centralia Police Dept,Central,2014,11,100.0
Centralia Police Dept,Central,2015,9,81.8
Centralia Police Dept,Central,2016,14,127.3
Centralia Police Dept,Central,2017,19,172.7
Centralia Police Dept,Central,2018,14,127.3
Centralia Police Dept,Central,2019,24,218.2
Centralia Police Dept,Central,2020,15,136.4
Centralia Police Dept,Central,2021,9,81.8
Centralia Police Dept,Central,2022,8,72.7
Centralia Police Dept,Central,2023,16,145.5
Centralia Police Dept,Central,2024,13,118.2
Cole County Sheriff's Dept,Central,2014,45,100.0
Cole County Sheriff's Dept,Central,2015,55,122.2
Cole County Sheriff's Dept,Central,2016,20,44.4
Cole County Sheriff's Dept,Central,2017,47,104.4
Cole County Sheriff's Dept,Central,2018,71,157.8
Cole County Sheriff's Dept,Central,2019,93,206.7
Cole County Sheriff's Dept,Central,2020,102,226.7
Cole County Sheriff's Dept,Central,2021,94,208.9
Cole County Sheriff's Dept,Central,2022,101,224.4
Cole County Sheriff's Dept,Central,2023,127,282.2
Cole County Sheriff's Dept,Central,2024,109,242.2
Columbia Police Dept,Central,2014,211,100.0
Columbia Police Dept,Central,2015,173,82.0
Columbia Police Dept,Central,2016,197,93.4
Columbia Police Dept,Central,2017,228,108.1
Columbia Police Dept,Central,2018,344,163.0
Columbia Police Dept,Central,2019,247,117.1
Columbia Police Dept,Central,2020,148,70.1
Columbia Police Dept,Central,2021,151,71.6
Columbia Police Dept,Central,2022,167,79.1
Columbia Police Dept,Central,2023,114,54.0
Columbia Police Dept,Central,2024,302,143.1
Fulton Police Dept,Central,2014,28,100.0
Fulton Police Dept,Central,2015,24,85.7
Fulton Police Dept,Central,2016,32,114.3
Fulton Police Dept,Central,2017,39,139.3
Fulton Police Dept,Central,2018,21,75.0
Fulton Police Dept,Central,2019,44,157.1
Fulton Police Dept,Central,2020,19,67.9
Fulton Police Dept,Central,2021,32,114.3
Fulton Police Dept,Central,2022,35,125.0
Fulton Police Dept,Central,2023,27,96.4
Fulton Police Dept,Central,2024,30,107.1
Jefferson City Police Dept,Central,2014,63,100.0
Jefferson City Police Dept,Central,2015,104,165.1
Jefferson City Police Dept,Central,2016,91,144.4
Jefferson City Police Dept,Central,2017,101,160.3
