Year,Anderson Police Dept,Aurora Police Dept,Barry County Sheriff's Dept,Battlefield Police Dept,Billings Police Dept,Bolivar Police Dept,Branson Police Dept,Branson West Police Dept,Cabool Police Dept,Carl Junction Police Dept,Carterville Police Dept,Carthage Police Dept,Cassville Police Dept,Christian County Sheriff's Dept,Clinton Police Dept,Greene County Sheriff's Dept,Henry County Sheriff's Dept,Hollister Police Dept,Jasper County Sheriff's Dept,Joplin Police Dept,Kimberling City Police Dept,Lawrence County Sheriff's Dept,Lebanon Police Dept,McDonald County Sheriff's Dept,Monett Police Dept,Mount Vernon Police Dept,Mountain Grove Police Dept,Neosho Police Dept,Nevada Police Dept,Newton County Sheriff's Dept,Nixa Police Dept,Noel Police Dept,Ozark Police Dept,Pineville Police Dept,Republic Police Dept,Seneca Police Dept,Springfield Police Dept,Strafford Police Dept,Taney County Sheriff's Dept,Vernon County Sheriff's Dept,Webb City Police Dept,Willard Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,342.1,123.0,128.6,61.5,105.9,133.3,75.9,109.1,66.7,78.4,150.0,127.0,106.2,252.4,66.7,93.1,90.3,216.7,98.5,71.3,121.1,111.1,176.9,82.6,91.6,100.0,91.7,203.6,109.1,177.8,56.5,54.8,2.8,87.0,194.5,350.0,98.7,128.6,65.2,115.8,87.7,130.8
2016,47.4,134.4,121.4,130.8,97.1,81.7,39.0,140.9,75.0,108.1,89.1,114.4,93.8,495.2,62.5,101.7,141.9,166.7,115.1,57.1,131.6,127.0,100.0,47.8,92.3,147.4,66.7,225.0,254.5,180.2,75.3,85.7,98.1,149.0,209.1,370.0,107.5,57.1,173.9,136.8,127.7,69.2
2017,102.6,137.7,78.6,100.0,100.0,78.3,56.6,113.6,133.3,73.0,204.3,92.9,168.8,652.4,70.8,105.5,87.1,254.2,110.9,50.8,115.8,447.6,61.5,30.4,103.1,131.6,66.7,164.3,190.9,196.3,37.6,464.3,43.0,128.0,172.7,200.0,122.4,114.3,121.7,100.0,100.0,107.7
2018,192.1,114.8,214.3,69.2,126.5,75.0,49.0,104.5,183.3,97.3,160.9,123.5,175.0,733.3,75.0,111.3,138.7,395.8,102.1,36.8,52.6,185.7,215.4,17.4,95.0,115.8,100.0,321.4,272.7,146.9,29.4,245.2,53.3,139.0,187.3,280.0,145.5,57.1,230.4,47.4,115.4,100.0
2019,168.4,59.0,92.9,107.7,35.3,63.3,68.7,109.1,175.0,64.9,273.9,64.6,381.2,619.0,170.8,106.9,,591.7,95.9,44.0,21.1,,138.5,69.6,108.4,136.8,191.7,123.2,227.3,101.2,77.6,219.0,55.1,62.0,181.8,460.0,135.3,85.7,187.0,173.7,118.5,300.0
2020,228.9,93.4,142.9,100.0,32.4,88.3,51.8,159.1,66.7,83.8,123.9,35.8,150.0,485.7,220.8,93.6,54.8,404.2,97.0,49.5,94.7,142.9,76.9,121.7,65.1,152.6,133.3,101.8,236.4,223.5,14.1,326.2,40.2,65.0,163.6,580.0,118.9,64.3,178.3,189.5,124.6,130.8
2021,278.9,70.5,514.3,107.7,17.6,80.0,40.2,190.9,108.3,45.9,69.6,88.0,125.0,495.2,258.3,91.7,132.3,583.3,83.7,38.6,68.4,130.2,84.6,104.3,80.8,142.1,150.0,105.4,272.7,181.5,18.8,331.0,48.6,66.0,163.6,590.0,85.7,50.0,295.7,257.9,95.4,84.6
2022,407.9,139.3,314.3,84.6,41.2,73.3,78.7,213.6,158.3,59.5,128.3,102.3,175.0,642.9,170.8,150.0,212.9,200.0,92.3,47.1,242.1,131.7,184.6,321.7,114.6,,208.3,255.4,409.1,158.0,31.8,435.7,119.6,,420.0,680.0,108.1,278.6,426.1,242.1,78.5,192.3
2023,394.7,221.3,135.7,184.6,,113.3,102.4,181.8,275.0,29.7,91.3,92.7,275.0,576.2,437.5,187.3,229.0,279.2,97.9,81.1,294.7,242.9,246.2,308.7,177.4,78.9,150.0,298.2,454.5,235.8,24.7,73.8,144.9,101.0,605.5,590.0,164.9,121.4,452.2,347.4,283.1,69.2
2024,,141.0,85.7,392.3,50.0,118.3,149.0,190.9,233.3,16.2,52.2,82.3,612.5,614.3,266.7,193.6,196.8,266.7,111.2,83.0,252.6,333.3,176.9,,,121.1,258.3,476.8,,239.5,,33.3,177.6,68.0,807.3,1090.0,169.4,114.3,560.9,,358.5,276.9
