Year,Ashland Police Dept,Boone County Sheriff's Dept,Boonville Police Dept,California Police Dept,Callaway County Sheriff's Dept,Camdenton Police Dept,Centralia Police Dept,Cole County Sheriff's Dept,Columbia Police Dept,Cooper County Sheriff's Dept,Dent County Sheriff's Dept,Eldon Police Dept,Fulton Police Dept,Gasconade County Sheriff's Dept,Hallsville Police Dept,Jefferson City Police Dept,Maries County Sheriff's Dept,Miller County Sheriff's Dept,Moniteau County Sheriff's Dept,Morgan County Sheriff's Dept,Osage County Sheriff's Dept,Owensville Police Dept,Phelps County Sheriff's Dept,Pulaski County Sheriff's Dept,Rolla Police Dept,Salem Police Dept,St James Police Dept,St Robert Police Dept,Sturgeon Police Dept,Sunrise Beach Police Dept,Versailles Police Dept,Waynesville Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,81.1,90.0,140.7,101.7,102.8,117.8,103.2,89.8,63.4,62.4,96.3,91.6,75.7,92.1,24.5,122.7,164.4,89.0,153.8,94.9,153.6,107.1,187.2,98.9,72.7,82.3,94.3,65.1,79.6,85.1,111.4,132.4
2016,72.8,102.6,151.3,115.2,111.8,99.2,107.2,56.2,63.9,69.1,63.9,99.8,72.2,122.9,18.4,102.4,135.6,132.2,146.2,162.1,73.2,162.2,283.0,94.0,107.5,60.0,93.3,,55.3,,88.8,99.7
2017,71.1,94.6,139.8,88.0,102.1,65.6,128.6,111.2,65.1,81.8,71.7,107.2,85.8,55.7,38.6,109.5,148.1,157.3,648.1,233.3,101.0,206.6,225.6,50.4,83.2,56.8,91.1,104.1,23.1,78.8,97.9,88.7
2018,52.2,121.6,122.0,102.6,81.6,83.3,92.0,154.8,91.8,122.3,94.4,138.4,59.5,109.9,54.1,90.6,162.1,209.5,999.0,269.7,49.8,95.9,121.3,86.4,82.8,80.4,93.2,101.1,70.4,45.5,96.5,127.9
2019,36.1,131.5,114.6,,74.5,63.8,107.0,140.7,78.1,88.2,89.6,79.9,54.4,101.8,70.0,75.1,176.2,264.5,1077.9,238.6,145.2,56.0,171.1,96.2,71.0,47.4,89.9,82.7,115.9,66.8,120.5,131.3
2020,73.4,87.4,80.7,,94.0,45.1,93.2,162.5,40.3,128.0,76.2,84.2,29.4,30.7,54.9,55.3,222.3,204.3,473.1,84.7,112.1,39.1,195.9,43.8,61.6,106.8,45.6,78.1,82.0,48.0,84.7,138.2
2021,103.1,102.1,78.0,,93.8,91.6,56.8,150.5,34.0,167.9,99.6,62.4,46.9,54.4,39.7,52.1,,156.2,688.5,162.9,127.8,55.3,258.5,49.1,76.0,115.7,48.4,96.1,,43.3,79.1,175.8
2022,57.8,116.3,68.6,,85.0,94.0,68.6,132.4,26.3,214.7,87.5,43.3,45.5,68.8,43.4,55.6,216.0,173.8,601.0,206.8,123.7,55.8,203.8,22.8,80.2,133.8,93.6,76.2,20.7,37.6,103.1,166.4
2023,39.0,132.7,47.8,,102.5,72.7,65.8,117.2,19.4,266.8,63.3,135.7,39.6,209.8,55.9,66.6,295.8,209.4,1257.7,158.7,320.8,117.3,240.4,34.5,59.0,118.1,83.5,62.1,105.5,39.3,71.4,134.2
2024,75.4,145.9,40.4,,112.3,91.2,40.1,118.8,60.8,289.6,41.2,38.7,62.1,261.0,137.5,85.0,6.7,185.3,962.5,334.0,320.8,173.3,218.5,,67.9,,80.5,88.8,,69.4,,155.7
