Year,Bates County Sheriff's Dept,Belton Police Dept,Blue Springs Police Dept,Buckner Police Dept,Butler Police Dept,Cameron Police Dept,Clay County Sheriff's Dept,Claycomo Police Dept,Clinton County Sheriff's Dept,Concordia Police Dept,Excelsior Springs Police Dept,Gladstone Dept of Public Safety,Grain Valley Police Dept,Grandview Police Dept,Greenwood Police Dept,Harrisonville Police Dept,Higginsville Police Dept,Independence Police Dept,Jackson County Sheriff's Dept,Johnson County Sheriff's Dept,Kansas City Police Dept,Kearney Police Dept,Knob Noster Police Dept,Lafayette County Sheriff's Dept,Lake Lotawana Police Dept,Lake Tapawingo Police Dept,Lee's Summit Police Dept,Lexington Police Dept,Liberty Police Dept,Lone Jack Police Dept,Marshall Police Dept,North Kansas City Police Dept,Oak Grove Police Dept,Odessa Police Dept,Peculiar Police Dept,Pettis County Sheriff's Dept,Platte City Police Dept,Platte County Sheriff's Dept,Pleasant Hill Police Dept,Pleasant Valley Police Dept,Randolph Police Dept,Ray County Sheriff's Dept,Raymore Police Dept,Raytown Police Dept,Rich Hill Police Dept,Richmond Police Dept,Riverside Dept of Public Safety,Saline County Sheriff's Dept,Sedalia Police Dept,Smithville Police Dept,Sugar Creek Police Dept,Sweet Springs Police Dept,Warrensburg Police Dept,Weatherby Lake Police Dept,Weston Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,95.7,74.3,93.3,112.3,66.6,94.9,112.5,76.5,64.3,53.6,90.4,93.7,67.7,123.8,105.2,71.7,67.7,99.5,81.5,85.4,84.1,59.0,125.0,157.3,77.6,65.7,87.3,85.0,91.1,97.5,109.8,83.1,60.1,156.5,87.8,155.0,68.5,127.3,139.0,94.7,120.8,137.1,76.4,57.5,42.7,122.0,71.3,58.4,73.6,88.6,181.5,170.5,172.3,91.4,98.6
2016,66.3,105.8,84.0,89.5,76.3,113.0,79.2,121.9,55.2,70.1,87.4,72.2,51.0,65.5,101.5,66.7,81.7,85.9,79.8,92.6,71.9,82.6,87.8,211.8,47.9,27.3,99.0,92.6,63.1,81.4,129.1,76.6,41.9,,105.2,133.8,71.6,125.4,112.5,73.6,,109.8,84.2,69.8,61.5,129.0,86.6,141.9,78.6,107.7,137.2,85.9,411.5,75.7,69.3
2017,65.4,101.0,92.9,102.6,43.1,109.7,87.0,289.8,130.4,71.8,90.6,74.5,69.9,84.1,120.1,75.4,87.6,72.2,61.0,95.9,63.3,70.3,129.8,412.3,27.6,50.5,92.0,60.6,69.7,83.9,94.6,87.7,46.7,,102.4,172.1,71.9,143.9,107.3,73.5,,125.4,73.0,44.5,38.0,129.8,,195.3,94.6,132.7,250.2,169.2,352.8,75.5,187.0
2018,115.9,87.6,116.1,64.0,30.9,98.4,99.6,233.3,128.4,91.1,91.2,63.4,77.3,92.9,73.6,79.4,138.7,76.1,44.9,109.4,62.7,73.5,93.4,197.6,37.5,156.2,96.4,85.6,98.1,101.6,89.9,77.9,41.1,280.4,78.3,135.7,51.8,151.2,136.2,82.6,,104.8,74.4,12.4,26.1,103.9,,73.0,92.8,128.6,340.5,127.3,237.7,92.4,185.3
2019,,81.2,81.2,45.3,,103.8,101.3,176.0,137.7,60.1,124.1,61.6,66.1,129.2,47.4,42.4,122.9,77.0,46.0,,53.1,85.0,114.9,215.2,70.5,199.2,94.0,71.5,91.0,87.2,127.2,87.0,35.9,303.6,122.8,149.3,48.4,159.2,186.0,86.2,,75.8,90.5,24.6,46.6,123.0,,90.1,89.7,150.8,263.1,57.7,363.1,98.2,156.0
2020,73.0,64.5,58.1,54.2,20.9,55.8,93.4,155.5,76.1,57.7,68.9,45.5,53.7,79.1,95.9,42.3,108.0,36.9,24.3,98.0,50.2,81.8,10.1,225.4,105.8,128.7,52.6,190.9,68.8,68.4,91.6,57.1,15.3,283.7,123.6,161.1,23.5,113.2,94.0,50.9,,105.5,58.2,14.3,34.6,71.8,,115.7,67.8,95.5,194.5,32.2,151.2,47.4,107.2
2021,72.2,83.8,52.4,64.4,29.2,97.1,114.8,104.6,90.5,51.0,54.8,42.2,,66.9,71.9,31.5,144.9,38.4,23.0,229.5,34.8,63.2,117.6,275.6,166.3,123.6,65.3,,73.1,99.1,98.1,65.9,24.5,382.4,93.1,205.6,25.5,146.9,136.6,50.9,,300.2,37.2,17.3,,89.9,,178.0,122.6,99.3,120.1,31.7,220.4,40.5,190.9
2022,82.4,83.4,60.7,42.6,19.3,111.5,134.0,79.7,113.3,44.3,32.2,18.0,66.1,44.3,,19.1,115.0,42.1,23.8,136.9,19.5,57.5,109.6,267.9,102.9,94.5,111.1,221.2,62.7,76.6,84.3,77.7,24.3,312.1,150.2,263.6,15.0,121.9,138.9,44.5,,452.2,51.2,13.8,23.5,106.1,,176.0,102.4,131.5,247.7,45.8,262.0,62.0,176.3
2023,124.9,71.2,95.8,24.3,29.9,121.9,142.1,,168.2,98.3,44.2,38.6,62.3,53.3,28.3,35.4,104.7,55.0,24.9,165.8,20.6,91.6,,318.7,144.9,61.4,134.3,,96.6,65.0,68.7,74.7,42.0,312.4,133.4,208.3,30.2,77.8,92.8,43.6,,421.8,77.0,10.0,7.3,101.3,,,78.8,160.9,,71.8,325.7,92.6,40.9
2024,104.5,36.8,120.6,,58.4,112.5,150.0,132.5,,102.2,,30.1,84.5,42.1,87.4,,100.2,54.2,17.3,252.6,29.8,148.2,191.5,304.1,117.8,30.3,132.1,118.5,103.6,59.5,65.3,51.1,45.4,242.2,165.5,220.1,25.1,97.4,124.8,46.4,,250.7,84.7,4.9,41.9,38.3,,236.4,93.1,116.9,187.9,115.4,273.1,86.8,53.0
