Year,Adair County Sheriff's Dept,Audrain County Sheriff's Dept,Bowling Green Police Dept,Brookfield Police Dept,Chariton County Sheriff's Dept,Clark County Sheriff's Dept,Hannibal Police Dept,Howard County Sheriff's Dept,Kirksville Police Dept,Knox County Sheriff's Dept,Lewis County Sheriff's Dept,Linn County Sheriff's Dept,Macon County Sheriff's Dept,Marion County Sheriff's Dept,Mexico Police Dept,Milan Police Dept,Moberly Police Dept,Monroe County Sheriff's Dept,Pike County Sheriff's Dept,Putnam County Sheriff's Dept,Ralls County Sheriff's Dept,Randolph County Sheriff's Dept,Schuyler County Sheriff's Dept,Scotland County Sheriff's Dept,Shelby County Sheriff's Dept,Sullivan County Sheriff's Dept,Vandalia Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,120.8,126.4,95.3,256.0,429.8,100.5,130.4,49.6,104.8,450.0,136.7,97.6,69.6,171.7,112.7,116.0,74.9,194.3,94.0,47.8,186.8,126.7,538.9,100.0,87.7,304.3,34.1
2016,123.8,158.7,94.2,297.1,817.0,93.7,110.0,49.0,130.1,672.2,137.0,77.6,130.4,185.5,76.4,48.0,114.9,122.7,25.5,204.3,145.6,148.0,392.6,46.9,80.6,243.5,38.6
2017,128.3,215.2,93.5,267.9,931.9,83.1,126.4,27.4,71.4,794.4,120.9,106.7,124.0,263.5,84.4,132.0,109.0,236.0,34.3,182.6,222.2,126.7,475.9,211.2,116.8,282.6,85.1
2018,112.3,192.2,105.6,223.0,680.9,84.5,93.7,36.4,78.4,1988.9,107.4,124.3,240.5,307.2,81.3,152.0,86.9,104.9,37.6,226.1,258.2,116.0,479.6,162.2,89.0,330.4,78.9
2019,106.0,181.0,60.0,184.5,666.0,59.6,145.4,38.7,106.2,9872.2,143.3,89.5,131.8,297.2,79.4,246.0,63.5,91.9,25.0,78.3,,38.0,642.6,110.2,106.5,173.9,6.5
2020,21.1,116.1,120.9,205.5,363.8,80.9,68.7,22.5,50.6,6166.7,61.3,204.8,187.8,191.2,103.5,256.0,55.6,69.2,12.4,239.1,126.6,153.3,551.9,173.5,83.9,600.0,
2021,81.0,117.7,104.9,250.6,1225.5,74.8,65.0,25.8,88.8,138.9,70.8,312.9,217.9,268.9,72.4,286.0,73.3,93.9,32.2,334.8,42.5,823.3,407.4,13.3,216.8,143.5,
2022,60.3,122.0,86.6,189.7,2178.7,54.3,65.6,82.0,108.5,444.4,79.9,312.9,451.7,284.3,53.3,316.0,39.8,90.3,61.4,1260.9,48.2,46.0,288.9,6.1,262.6,117.4,
2023,50.7,135.9,128.5,234.1,2702.1,43.7,61.3,64.3,169.0,100.0,81.4,637.6,378.7,231.1,47.2,136.0,50.7,147.8,41.0,1260.9,71.6,676.7,572.2,8.2,242.6,121.7,
2024,28.5,99.8,144.0,222.7,,,100.0,37.7,107.9,594.4,114.9,550.0,147.0,317.9,,402.0,62.5,123.1,51.8,156.5,78.8,1022.7,611.1,,172.9,1226.1,
