Agency,Region,Year,Stops,Indexed
Ashland Police Dept,Central,2014,1539,100.0
Ashland Police Dept,Central,2015,1248,81.1
Ashland Police Dept,Central,2016,1121,72.8
Ashland Police Dept,Central,2017,1094,71.1
Ashland Police Dept,Central,2018,804,52.2
Ashland Police Dept,Central,2019,556,36.1
Ashland Police Dept,Central,2020,1130,73.4
Ashland Police Dept,Central,2021,1587,103.1
Ashland Police Dept,Central,2022,890,57.8
Ashland Police Dept,Central,2023,600,39.0
Ashland Police Dept,Central,2024,1160,75.4
Boone County Sheriff's Dept,Central,2014,5300,100.0
Boone County Sheriff's Dept,Central,2015,4768,90.0
Boone County Sheriff's Dept,Central,2016,5436,102.6
Boone County Sheriff's Dept,Central,2017,5013,94.6
Boone County Sheriff's Dept,Central,2018,6445,121.6
Boone County Sheriff's Dept,Central,2019,6970,131.5
Boone County Sheriff's Dept,Central,2020,4631,87.4
Boone County Sheriff's Dept,Central,2021,5410,102.1
Boone County Sheriff's Dept,Central,2022,6164,116.3
Boone County Sheriff's Dept,Central,2023,7032,132.7
Boone County Sheriff's Dept,Central,2024,7732,145.9
Boonville Police Dept,Central,2014,2889,100.0
Boonville Police Dept,Central,2015,4065,140.7
Boonville Police Dept,Central,2016,4372,151.3
Boonville Police Dept,Central,2017,4039,139.8
Boonville Police Dept,Central,2018,3524,122.0
Boonville Police Dept,Central,2019,3311,114.6
Boonville Police Dept,Central,2020,2332,80.7
Boonville Police Dept,Central,2021,2254,78.0
Boonville Police Dept,Central,2022,1981,68.6
Boonville Police Dept,Central,2023,1380,47.8
Boonville Police Dept,Central,2024,1167,40.4
California Police Dept,Central,2014,343,100.0
California Police Dept,Central,2015,349,101.7
California Police Dept,Central,2016,395,115.2
California Police Dept,Central,2017,302,88.0
California Police Dept,Central,2018,352,102.6
Callaway County Sheriff's Dept,Central,2014,2107,100.0
Callaway County Sheriff's Dept,Central,2015,2167,102.8
Callaway County Sheriff's Dept,Central,2016,2355,111.8
Callaway County Sheriff's Dept,Central,2017,2151,102.1
Callaway County Sheriff's Dept,Central,2018,1719,81.6
Callaway County Sheriff's Dept,Central,2019,1569,74.5
Callaway County Sheriff's Dept,Central,2020,1980,94.0
Callaway County Sheriff's Dept,Central,2021,1977,93.8
Callaway County Sheriff's Dept,Central,2022,1792,85.0
Callaway County Sheriff's Dept,Central,2023,2160,102.5
Callaway County Sheriff's Dept,Central,2024,2366,112.3
Camdenton Police Dept,Central,2014,1374,100.0
Camdenton Police Dept,Central,2015,1618,117.8
Camdenton Police Dept,Central,2016,1363,99.2
Camdenton Police Dept,Central,2017,902,65.6
Camdenton Police Dept,Central,2018,1144,83.3
Camdenton Police Dept,Central,2019,876,63.8
Camdenton Police Dept,Central,2020,620,45.1
Camdenton Police Dept,Central,2021,1258,91.6
Camdenton Police Dept,Central,2022,1291,94.0
Camdenton Police Dept,Central,2023,999,72.7
Camdenton Police Dept,Central,2024,1253,91.2
Centralia Police Dept,Central,2014,1508,100.0
Centralia Police Dept,Central,2015,1557,103.2
Centralia Police Dept,Central,2016,1617,107.2
Centralia Police Dept,Central,2017,1940,128.6
Centralia Police Dept,Central,2018,1388,92.0
Centralia Police Dept,Central,2019,1614,107.0
Centralia Police Dept,Central,2020,1405,93.2
Centralia Police Dept,Central,2021,856,56.8
Centralia Police Dept,Central,2022,1035,68.6
Centralia Police Dept,Central,2023,992,65.8
Centralia Police Dept,Central,2024,604,40.1
Cole County Sheriff's Dept,Central,2014,2395,100.0
Cole County Sheriff's Dept,Central,2015,2150,89.8
Cole County Sheriff's Dept,Central,2016,1346,56.2
Cole County Sheriff's Dept,Central,2017,2663,111.2
Cole County Sheriff's Dept,Central,2018,3707,154.8
Cole County Sheriff's Dept,Central,2019,3369,140.7
Cole County Sheriff's Dept,Central,2020,3893,162.5
Cole County Sheriff's Dept,Central,2021,3604,150.5
Cole County Sheriff's Dept,Central,2022,3172,132.4
Cole County Sheriff's Dept,Central,2023,2806,117.2
Cole County Sheriff's Dept,Central,2024,2845,118.8
Columbia Police Dept,Central,2014,11608,100.0
Columbia Police Dept,Central,2015,7354,63.4
