Year,Bollinger County Sheriff's Dept,Butler County Sheriff's Dept,Cape Girardeau Police Dept,Carter County Sheriff's Dept,Caruthersville Police Dept,Charleston Police Dept,Dexter Police Dept,Doniphan Police Dept,Dunklin County Sheriff's Dept,Fredericktown Police Dept,Hayti Police Dept,Howell County Sheriff's Dept,Iron County Sheriff's Dept,Ironton Police Dept,Jackson Police Dept,Kennett Police Dept,Madison County Sheriff's Dept,Malden Police Dept,Marble Hill Police Dept,Mississippi County Sheriff's Dept,Mountain View Police Dept,New Madrid County Sheriff's Dept,New Madrid Police Dept,Oregon County Sheriff's Dept,Pemiscot County Sheriff's Dept,Perry County Sheriff's Dept,Perryville Police Dept,Poplar Bluff Police Dept,Reynolds County Sheriff's Dept,Ripley County Sheriff's Dept,Scott City Police Dept,Scott County Sheriff's Dept,Sikeston Police Dept,Stoddard County Sheriff's Dept,Thayer Police Dept,Wayne County Sheriff's Dept,West Plains Police Dept,Willow Springs Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,48.8,85.3,107.8,281.9,124.0,81.7,92.0,102.6,57.4,62.0,115.9,101.1,47.4,166.9,106.4,91.9,420.7,279.1,78.2,70.8,88.8,360.9,111.1,55.1,7.6,129.6,206.4,84.9,93.5,78.4,162.4,78.6,99.5,244.1,189.8,205.0,107.9,128.9
2016,61.1,82.4,152.7,126.4,71.7,78.5,123.7,51.2,18.1,79.0,238.8,111.6,54.3,54.1,102.1,78.5,317.3,537.9,145.4,179.2,70.1,387.0,80.5,57.6,45.7,83.6,181.8,59.0,37.0,70.3,125.9,135.6,126.5,200.0,231.5,134.2,28.3,312.0
2017,85.8,83.7,183.0,168.1,103.9,71.9,124.2,44.1,175.5,82.3,43.8,97.4,46.1,67.7,119.1,89.9,81.0,406.8,135.1,570.8,36.0,326.1,103.1,34.1,109.5,102.5,214.1,104.7,17.4,29.7,74.6,166.1,97.2,251.1,95.1,176.7,80.8,266.3
2018,107.4,79.4,184.9,129.2,54.5,69.4,114.4,130.6,313.8,47.8,46.5,100.7,44.7,46.6,143.2,71.2,215.6,561.0,57.8,466.7,75.1,217.4,38.9,65.9,18.1,196.6,220.2,83.7,26.1,73.0,127.5,136.6,115.4,91.6,84.3,208.3,55.4,323.5
2019,152.9,56.7,162.4,134.7,60.1,61.8,84.0,66.6,,47.7,,89.7,38.9,138.7,138.8,68.9,193.1,486.4,42.9,1241.7,78.3,130.4,93.8,,41.0,228.2,269.1,77.0,64.1,94.6,153.1,52.8,149.5,227.8,118.9,278.8,52.4,413.3
2020,61.3,36.9,89.7,19.4,110.3,21.1,84.9,74.6,369.1,31.5,61.7,89.1,15.0,102.6,107.1,91.6,117.3,335.0,37.0,1254.2,79.6,308.7,66.4,53.2,145.7,175.0,199.8,48.1,148.9,202.7,100.8,38.9,161.8,145.1,51.7,131.9,58.9,519.3
2021,43.1,48.3,81.7,268.1,173.4,31.2,83.8,97.2,147.9,36.7,61.7,107.4,19.1,78.9,128.0,101.0,170.0,431.1,105.9,1504.2,109.2,960.9,52.2,150.2,11.4,120.7,152.9,77.5,6.5,160.8,90.9,52.5,193.0,115.7,85.5,413.9,78.1,747.6
2022,51.6,28.2,95.7,,133.5,39.4,110.5,74.1,96.8,51.6,27.3,125.4,34.8,80.5,144.9,61.9,120.7,369.5,31.3,2004.2,135.9,1356.5,,124.4,28.6,112.2,208.6,105.3,22.8,44.6,105.4,69.1,112.2,233.5,70.4,151.0,96.0,734.3
2023,83.2,72.3,102.8,370.8,231.3,26.2,146.6,33.9,289.4,126.7,13.7,209.5,27.0,80.5,131.3,83.3,98.6,228.2,30.9,1854.2,116.7,204.3,159.7,62.4,78.1,144.8,196.1,105.7,26.1,433.8,71.4,53.0,235.3,378.1,42.1,218.0,172.7,1153.0
2024,85.8,135.8,123.5,322.2,,62.8,109.4,11.3,,71.0,,161.3,54.6,52.6,150.5,93.9,,,,1558.3,162.1,1073.9,300.4,68.8,161.0,182.6,214.5,120.4,,247.3,,,177.1,520.5,67.7,153.1,,
