Metric,Year,Rate,YoY Change (pp),YoY Change (%),Dot Size
Arrest Rate,2014,8.19,0.0,0.0,0.0
Arrest Rate,2015,7.24,-0.95,-11.6,0.95
Arrest Rate,2016,7.12,-0.12,-1.7,0.12
Arrest Rate,2017,7.39,0.27,3.8,0.27
Arrest Rate,2018,6.26,-1.13,-15.3,1.13
Arrest Rate,2019,6.31,0.05,0.8,0.05
Arrest Rate,2020,4.8,-1.51,-23.9,1.51
Arrest Rate,2021,4.81,0.01,0.2,0.01
Arrest Rate,2022,5.21,0.4,8.3,0.4
Arrest Rate,2023,5.59,0.38,7.3,0.38
Arrest Rate,2024,6.17,0.58,10.4,0.58
Search Rate,2014,9.91,0.0,0.0,0.0
Search Rate,2015,9.04,-0.87,-8.8,0.87
Search Rate,2016,8.48,-0.56,-6.2,0.56
Search Rate,2017,8.52,0.04,0.5,0.04
Search Rate,2018,8.44,-0.08,-0.9,0.08
Search Rate,2019,8.33,-0.11,-1.3,0.11
Search Rate,2020,7.63,-0.7,-8.4,0.7
Search Rate,2021,7.9,0.27,3.5,0.27
Search Rate,2022,7.64,-0.26,-3.3,0.26
Search Rate,2023,6.41,-1.23,-16.1,1.23
Search Rate,2024,6.4,-0.01,-0.2,0.01
Investigative Stop Rate,2014,6.07,0.0,0.0,0.0
Investigative Stop Rate,2015,5.94,-0.13,-2.1,0.13
Investigative Stop Rate,2016,5.72,-0.22,-3.7,0.22
Investigative Stop Rate,2017,5.16,-0.56,-9.8,0.56
Investigative Stop Rate,2018,5.59,0.43,8.3,0.43
Investigative Stop Rate,2019,4.6,-0.99,-17.7,0.99
Investigative Stop Rate,2020,3.32,-1.28,-27.8,1.28
Investigative Stop Rate,2021,3.78,0.46,13.9,0.46
Investigative Stop Rate,2022,3.67,-0.11,-2.9,0.11
Investigative Stop Rate,2023,3.49,-0.18,-4.9,0.18
Investigative Stop Rate,2024,4.0,0.51,14.6,0.51
Equipment Stop Rate,2014,15.14,0.0,0.0,0.0
Equipment Stop Rate,2015,14.05,-1.09,-7.2,1.09
Equipment Stop Rate,2016,13.76,-0.29,-2.1,0.29
Equipment Stop Rate,2017,15.74,1.98,14.4,1.98
Equipment Stop Rate,2018,14.59,-1.15,-7.3,1.15
Equipment Stop Rate,2019,14.4,-0.19,-1.3,0.19
Equipment Stop Rate,2020,11.65,-2.75,-19.1,2.75
Equipment Stop Rate,2021,12.08,0.43,3.7,0.43
Equipment Stop Rate,2022,12.14,0.06,0.5,0.06
Equipment Stop Rate,2023,12.45,0.31,2.6,0.31
Equipment Stop Rate,2024,12.99,0.54,4.3,0.54
License Stop Rate,2014,19.65,0.0,0.0,0.0
License Stop Rate,2015,16.62,-3.03,-15.4,3.03
License Stop Rate,2016,17.11,0.49,2.9,0.49
License Stop Rate,2017,21.37,4.26,24.9,4.26
License Stop Rate,2018,18.65,-2.72,-12.7,2.72
License Stop Rate,2019,19.82,1.17,6.3,1.17
License Stop Rate,2020,17.76,-2.06,-10.4,2.06
License Stop Rate,2021,18.31,0.55,3.1,0.55
License Stop Rate,2022,21.22,2.91,15.9,2.91
License Stop Rate,2023,22.77,1.55,7.3,1.55
License Stop Rate,2024,25.89,3.12,13.7,3.12
