Race,Metric,Year,Rate,Indexed (2014=100)
Hispanic,Arrest Rate,2014,8.19,100.0
Hispanic,Arrest Rate,2015,7.24,88.4
Hispanic,Arrest Rate,2016,7.12,86.9
Hispanic,Arrest Rate,2017,7.39,90.2
Hispanic,Arrest Rate,2018,6.26,76.4
Hispanic,Arrest Rate,2019,6.31,77.0
Hispanic,Arrest Rate,2020,4.8,58.6
Hispanic,Arrest Rate,2021,4.81,58.7
Hispanic,Arrest Rate,2022,5.21,63.6
Hispanic,Arrest Rate,2023,5.59,68.3
Hispanic,Arrest Rate,2024,6.17,75.3
Hispanic,Search Rate,2014,9.91,100.0
Hispanic,Search Rate,2015,9.04,91.2
Hispanic,Search Rate,2016,8.48,85.6
Hispanic,Search Rate,2017,8.52,86.0
Hispanic,Search Rate,2018,8.44,85.2
Hispanic,Search Rate,2019,8.33,84.1
Hispanic,Search Rate,2020,7.63,77.0
Hispanic,Search Rate,2021,7.9,79.7
Hispanic,Search Rate,2022,7.64,77.1
Hispanic,Search Rate,2023,6.41,64.7
Hispanic,Search Rate,2024,6.4,64.6
Hispanic,Investigative Stop Rate,2014,6.07,100.0
Hispanic,Investigative Stop Rate,2015,5.94,97.9
Hispanic,Investigative Stop Rate,2016,5.72,94.2
Hispanic,Investigative Stop Rate,2017,5.16,85.0
Hispanic,Investigative Stop Rate,2018,5.59,92.1
Hispanic,Investigative Stop Rate,2019,4.6,75.8
Hispanic,Investigative Stop Rate,2020,3.32,54.7
Hispanic,Investigative Stop Rate,2021,3.78,62.3
Hispanic,Investigative Stop Rate,2022,3.67,60.5
Hispanic,Investigative Stop Rate,2023,3.49,57.5
Hispanic,Investigative Stop Rate,2024,4.0,65.9
Hispanic,Equipment Stop Rate,2014,15.14,100.0
Hispanic,Equipment Stop Rate,2015,14.05,92.8
Hispanic,Equipment Stop Rate,2016,13.76,90.9
Hispanic,Equipment Stop Rate,2017,15.74,104.0
Hispanic,Equipment Stop Rate,2018,14.59,96.4
Hispanic,Equipment Stop Rate,2019,14.4,95.1
Hispanic,Equipment Stop Rate,2020,11.65,76.9
Hispanic,Equipment Stop Rate,2021,12.08,79.8
Hispanic,Equipment Stop Rate,2022,12.14,80.2
Hispanic,Equipment Stop Rate,2023,12.45,82.2
Hispanic,Equipment Stop Rate,2024,12.99,85.8
Hispanic,License Stop Rate,2014,19.65,100.0
Hispanic,License Stop Rate,2015,16.62,84.6
Hispanic,License Stop Rate,2016,17.11,87.1
Hispanic,License Stop Rate,2017,21.37,108.8
Hispanic,License Stop Rate,2018,18.65,94.9
Hispanic,License Stop Rate,2019,19.82,100.9
Hispanic,License Stop Rate,2020,17.76,90.4
Hispanic,License Stop Rate,2021,18.31,93.2
Hispanic,License Stop Rate,2022,21.22,108.0
Hispanic,License Stop Rate,2023,22.77,115.9
Hispanic,License Stop Rate,2024,25.89,131.8
White,Arrest Rate,2014,4.14,100.0
White,Arrest Rate,2015,3.94,95.2
White,Arrest Rate,2016,4.18,101.0
White,Arrest Rate,2017,4.32,104.3
White,Arrest Rate,2018,4.25,102.7
White,Arrest Rate,2019,4.53,109.4
White,Arrest Rate,2020,3.7,89.4
White,Arrest Rate,2021,3.9,94.2
White,Arrest Rate,2022,3.55,85.7
White,Arrest Rate,2023,4.11,99.3
White,Arrest Rate,2024,3.38,81.6
White,Search Rate,2014,5.21,100.0
White,Search Rate,2015,5.38,103.3
White,Search Rate,2016,5.57,106.9
White,Search Rate,2017,5.88,112.9
White,Search Rate,2018,6.04,115.9
White,Search Rate,2019,6.23,119.6
White,Search Rate,2020,8.3,159.3
White,Search Rate,2021,6.49,124.6
White,Search Rate,2022,5.48,105.2
White,Search Rate,2023,4.34,83.3
White,Search Rate,2024,4.68,89.8
White,Investigative Stop Rate,2014,3.9,100.0
White,Investigative Stop Rate,2015,4.12,105.6
White,Investigative Stop Rate,2016,4.26,109.2
White,Investigative Stop Rate,2017,4.08,104.6
White,Investigative Stop Rate,2018,4.41,113.1
White,Investigative Stop Rate,2019,3.91,100.3
White,Investigative Stop Rate,2020,3.29,84.4
White,Investigative Stop Rate,2021,3.37,86.4
White,Investigative Stop Rate,2022,3.07,78.7
White,Investigative Stop Rate,2023,2.64,67.7
White,Investigative Stop Rate,2024,2.56,65.6
White,Equipment Stop Rate,2014,14.64,100.0
White,Equipment Stop Rate,2015,15.2,103.8
White,Equipment Stop Rate,2016,14.95,102.1
White,Equipment Stop Rate,2017,14.74,100.7
White,Equipment Stop Rate,2018,15.16,103.6
White,Equipment Stop Rate,2019,15.52,106.0
White,Equipment Stop Rate,2020,13.74,93.9
White,Equipment Stop Rate,2021,13.85,94.6
White,Equipment Stop Rate,2022,13.46,91.9
White,Equipment Stop Rate,2023,13.29,90.8
White,Equipment Stop Rate,2024,13.22,90.3
White,License Stop Rate,2014,22.99,100.0
White,License Stop Rate,2015,20.36,88.6
White,License Stop Rate,2016,21.45,93.3
White,License Stop Rate,2017,24.2,105.3
White,License Stop Rate,2018,23.92,104.0
White,License Stop Rate,2019,27.03,117.6
White,License Stop Rate,2020,25.95,112.9
White,License Stop Rate,2021,26.64,115.9
White,License Stop Rate,2022,30.73,133.7
White,License Stop Rate,2023,32.12,139.7
White,License Stop Rate,2024,32.85,142.9
