facility,total,pre_287g,post_287g
GREENE COUNTY JAIL,237,122,115
JASPER COUNTY JAIL,219,99,120
ST. LOUIS COUNTY JAIL,192,103,89
KANSAS CITY POLICE DEPT.,162,98,64
JACKSON COUNTY JAIL,131,74,57
SPRINGFIELD FED.MED.CNTR,131,98,33
ST. CHARLES COUNTY JAIL,90,36,54
"US MARSHALS, E. DISTRICT, MO",90,39,51
BOONE COUNTY JAIL,81,30,51
CHRISTIAN CO SHERIFF DEPT,80,14,66
INDEPENDENCE POLICE DEPT.,79,40,39
ST . LOUIS CITY JUSTICE CENTER,79,51,28
ST CHARLES POLICE DEPT,62,17,45
TANEY COUNTY SHERIFF,61,25,36
"US MARSHALS, WEST DIST MO",61,30,31
MONETT POLICE DEPARTMENT,60,29,31
O'FALLON MO POLICE DEPT,59,5,54
PETTIS COUNTY JAIL,44,23,21
CAMDEN COUNTY SHERIFF,44,13,31
PLATTE COUNTY JAIL,43,14,29
WEST REC DIAG CORR CENTER,37,24,13
MARYLAND HEIGHTS POLICE DEPT.,37,11,26
BELTON POLICE DEPT,37,5,32
CLAY COUNTY JAIL,36,16,20
EAST REC DIAG CORR CENTER,35,24,11
RICHMOND HEIGHTS POLICE DEPT.,35,5,30
FULTON DIAGNOSTIC CENTER,34,22,12
"US MARSHAL-SPRINGFIELD, MO",31,18,13
WARREN COUNTY JUSTICE CTR,30,11,19
STONE COUNTY JAIL,29,2,27
OVERLAND POLICE DEPT.,28,7,21
WEBSTER COUNTY SHERIFF,28,15,13
JEFFERSON COUNTY JAIL,27,11,16
GRANDVIEW POLICE DEPT.,26,4,22
BUCHANAN COUNTY JAIL,26,2,24
NEWTON COUNTY JAIL,26,15,11
MCDONALD COUNTY SERIFF,25,9,16
ST. ANN POLICE DEPT.,22,7,15
SUGAR CREEK POLICE DEPT,22,1,21
MANCHESTER POLICE DEPT.,21,4,17
MONTGOMERY COUNTY JAIL,20,5,15
BARRY COUNTY JAIL,19,4,15
JOPLIN CITY JAIL,19,10,9
LAWRENCE COUNTY SHERIFF,19,6,13
COLE COUNTY MO JAIL,18,6,12
CHESTERFIELD POLICE DEPT.,17,9,8
MONITEAU COUNTY JAIL,17,4,13
ST. PETERS POLICE DEPT.,17,5,12
CAPE GIRARDEAU COUNTY JAIL,16,11,5
FRANKLIN COUNTY JAIL,16,2,14
