race,year,total_stops,license_stops,license_rate_pct,equipment_rate_pct,investigative_rate_pct,arrest_rate_pct,search_rate_pct,arrest_count
White,2014,1317360,302797,22.99,14.64,3.9,4.14,5.21,54539
White,2015,1243384,253144,20.36,15.2,4.12,3.94,5.38,48989
White,2016,1212726,260122,21.45,14.95,4.26,4.18,5.57,50692
White,2017,1189744,287876,24.2,14.74,4.08,4.32,5.88,51397
White,2018,1177844,281768,23.92,15.16,4.41,4.25,6.04,50058
White,2019,1162018,314045,27.03,15.52,3.91,4.53,6.23,52639
White,2020,897674,232942,25.95,13.74,3.29,3.7,8.3,33214
White,2021,940543,250572,26.64,13.85,3.37,3.9,6.49,36681
White,2022,984097,302400,30.73,13.46,3.07,3.55,5.48,34935
White,2023,1053004,338241,32.12,13.29,2.64,4.11,4.34,43278
White,2024,984190,323283,32.85,13.22,2.56,3.38,4.68,33266
Black,2014,304321,92558,30.41,15.57,7.77,7.9,9.0,24041
Black,2015,276445,74903,27.1,15.36,7.64,6.91,8.78,19102
Black,2016,279657,81483,29.14,14.8,6.8,6.59,8.77,18429
Black,2017,288851,97922,33.9,14.2,5.79,6.59,8.87,19035
Black,2018,296065,99769,33.7,14.67,5.93,6.37,8.93,18859
Black,2019,302543,112257,37.1,15.63,5.52,6.1,8.88,18455
Black,2020,209222,64322,30.74,12.5,4.71,4.61,8.55,9645
Black,2021,226062,76111,33.67,12.77,5.17,4.68,8.57,10580
Black,2022,220556,83329,37.78,11.98,4.35,5.26,7.85,11601
Black,2023,235979,95980,40.67,11.44,3.91,4.8,5.2,11327
Black,2024,217871,88746,40.73,12.21,4.23,5.82,5.35,12680
Hispanic,2014,30782,6048,19.65,15.14,6.07,8.19,9.91,2521
Hispanic,2015,31764,5279,16.62,14.05,5.94,7.24,9.04,2300
Hispanic,2016,34472,5899,17.11,13.76,5.72,7.12,8.48,2454
Hispanic,2017,34068,7281,21.37,15.74,5.16,7.39,8.52,2518
Hispanic,2018,34769,6486,18.65,14.59,5.59,6.26,8.44,2177
Hispanic,2019,35526,7040,19.82,14.4,4.6,6.31,8.33,2242
Hispanic,2020,29711,5278,17.76,11.65,3.32,4.8,7.63,1426
Hispanic,2021,31701,5805,18.31,12.08,3.78,4.81,7.9,1525
Hispanic,2022,36105,7662,21.22,12.14,3.67,5.21,7.64,1881
Hispanic,2023,42736,9733,22.77,12.45,3.49,5.59,6.41,2389
Hispanic,2024,46655,12080,25.89,12.99,4.0,6.17,6.4,2879
