row_key,agency,Total,White,Black,Hispanic,Asian,Am. Indian,Other,year,checked
key-indicators--stops,Adair County Sheriff's Dept,664,587,36,26,7,1,7,2019,1
key-indicators--arrests,Adair County Sheriff's Dept,6,6,0,0,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Adair County Sheriff's Dept,488,433,20,22,7,0,6,2019,1
vehicle-stop-stats--stop-outcome--citation,Adair County Sheriff's Dept,123,107,5,8,1,0,2,2019,1
search-stats--probable-cause-authority-to-search--consent,Adair County Sheriff's Dept,6,6,0,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Adair County Sheriff's Dept,1,1,0,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Adair County Sheriff's Dept,1,1,0,0,0,0,0,2019,1
key-indicators--stops,Appleton City Police Dept,25,22,1,2,0,0,0,2019,1
key-indicators--arrests,Appleton City Police Dept,4,3,0,1,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Appleton City Police Dept,4,4,0,0,0,0,0,2019,1
vehicle-stop-stats--stop-outcome--citation,Appleton City Police Dept,2,2,0,0,0,0,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Appleton City Police Dept,3,2,0,1,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Appleton City Police Dept,0,0,0,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Appleton City Police Dept,0,0,0,0,0,0,0,2019,1
key-indicators--stops,Aurora Police Dept,518,477,5,36,0,0,0,2019,1
key-indicators--arrests,Aurora Police Dept,31,26,1,4,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Aurora Police Dept,156,142,1,13,0,0,0,2019,1
vehicle-stop-stats--stop-outcome--citation,Aurora Police Dept,170,148,1,21,0,0,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Aurora Police Dept,26,24,0,2,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Aurora Police Dept,19,14,1,4,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Aurora Police Dept,4,3,0,1,0,0,0,2019,1
key-indicators--stops,Battlefield Police Dept,792,725,33,14,11,0,9,2019,1
key-indicators--arrests,Battlefield Police Dept,15,11,3,0,0,0,1,2019,1
vehicle-stop-stats--reason-for-stop--moving,Battlefield Police Dept,314,287,16,2,4,0,5,2019,1
vehicle-stop-stats--stop-outcome--citation,Battlefield Police Dept,197,181,8,2,3,0,3,2019,1
search-stats--probable-cause-authority-to-search--consent,Battlefield Police Dept,4,3,1,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Battlefield Police Dept,10,9,1,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Battlefield Police Dept,4,4,0,0,0,0,0,2019,1
key-indicators--stops,Benton Police Dept,104,99,5,0,0,0,0,2019,1
key-indicators--arrests,Benton Police Dept,0,0,0,0,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Benton Police Dept,86,81,5,0,0,0,0,2019,1
vehicle-stop-stats--stop-outcome--citation,Benton Police Dept,11,9,2,0,0,0,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Benton Police Dept,0,0,0,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Benton Police Dept,0,0,0,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Benton Police Dept,0,0,0,0,0,0,0,2019,1
key-indicators--stops,Bland Police Dept,11,11,0,0,0,0,0,2019,1
key-indicators--arrests,Bland Police Dept,0,0,0,0,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Bland Police Dept,8,8,0,0,0,0,0,2019,1
vehicle-stop-stats--stop-outcome--citation,Bland Police Dept,5,5,0,0,0,0,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Bland Police Dept,0,0,0,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Bland Police Dept,0,0,0,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Bland Police Dept,0,0,0,0,0,0,0,2019,1
key-indicators--stops,Bourbon - Dept of Public Safety,319,305,6,5,1,2,0,2019,1
key-indicators--arrests,Bourbon - Dept of Public Safety,6,5,0,1,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Bourbon - Dept of Public Safety,136,124,5,5,1,1,0,2019,1
vehicle-stop-stats--stop-outcome--citation,Bourbon - Dept of Public Safety,61,59,0,2,0,0,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Bourbon - Dept of Public Safety,2,2,0,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Bourbon - Dept of Public Safety,3,3,0,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Bourbon - Dept of Public Safety,1,1,0,0,0,0,0,2019,1
key-indicators--stops,Brookfield Police Dept,1500,1397,62,22,2,2,15,2019,1
key-indicators--arrests,Brookfield Police Dept,212,186,22,1,2,0,1,2019,1
vehicle-stop-stats--reason-for-stop--moving,Brookfield Police Dept,794,719,46,13,2,2,12,2019,1
vehicle-stop-stats--stop-outcome--citation,Brookfield Police Dept,192,167,21,1,2,0,1,2019,1
search-stats--probable-cause-authority-to-search--consent,Brookfield Police Dept,61,56,2,2,1,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Brookfield Police Dept,51,44,6,1,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Brookfield Police Dept,34,30,4,0,0,0,0,2019,1
key-indicators--stops,Butterfield Police Dept,3,1,0,2,0,0,0,2019,1
key-indicators--arrests,Butterfield Police Dept,0,0,0,0,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Butterfield Police Dept,3,1,0,2,0,0,0,2019,1
vehicle-stop-stats--stop-outcome--citation,Butterfield Police Dept,0,0,0,0,0,0,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Butterfield Police Dept,0,0,0,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Butterfield Police Dept,0,0,0,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Butterfield Police Dept,0,0,0,0,0,0,0,2019,1
key-indicators--stops,Camdenton Police Dept,918,876,24,15,0,2,1,2019,1
key-indicators--arrests,Camdenton Police Dept,41,40,1,0,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Camdenton Police Dept,345,333,7,4,0,0,1,2019,1
vehicle-stop-stats--stop-outcome--citation,Camdenton Police Dept,378,358,13,5,0,2,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Camdenton Police Dept,64,63,1,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Camdenton Police Dept,22,22,0,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Camdenton Police Dept,11,11,0,0,0,0,0,2019,1
key-indicators--stops,Carter County Sheriff's Dept,98,97,0,0,0,0,1,2019,1
key-indicators--arrests,Carter County Sheriff's Dept,10,10,0,0,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Carter County Sheriff's Dept,28,27,0,0,0,0,1,2019,1
vehicle-stop-stats--stop-outcome--citation,Carter County Sheriff's Dept,22,22,0,0,0,0,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Carter County Sheriff's Dept,6,6,0,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Carter County Sheriff's Dept,7,7,0,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Carter County Sheriff's Dept,3,3,0,0,0,0,0,2019,1
key-indicators--stops,Chaffee Police Dept,669,653,14,0,1,0,1,2019,1
key-indicators--arrests,Chaffee Police Dept,14,14,0,0,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Chaffee Police Dept,426,415,10,0,0,0,1,2019,1
vehicle-stop-stats--stop-outcome--citation,Chaffee Police Dept,228,221,7,0,0,0,0,2019,1
search-stats--probable-cause-authority-to-search--consent,Chaffee Police Dept,24,24,0,0,0,0,0,2019,1
search-stats--contraband-found--drugs-alcohol,Chaffee Police Dept,6,5,1,0,0,0,0,2019,1
search-stats--arrest-charge--drug-violation,Chaffee Police Dept,3,3,0,0,0,0,0,2019,1
key-indicators--stops,Clark County Sheriff's Dept,1035,928,69,32,0,2,4,2019,1
key-indicators--arrests,Clark County Sheriff's Dept,54,45,7,2,0,0,0,2019,1
vehicle-stop-stats--reason-for-stop--moving,Clark County Sheriff's Dept,698,607,62,23,0,2,4,2019,1
vehicle-stop-stats--stop-outcome--citation,Clark County Sheriff's Dept,292,244,31,14,0,1,2,2019,1
