row_key,agency,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
rates-by-race--totals--all-stops,St Louis City Police Dept,23717,8909,13655,645,32,202,274,2024,1
search-statistics--probable-cause--incident-to-arrest,Randolph County Sheriff's Dept,18,11,6,1,0,0,0,2024,1
search-statistics--what-searched--driver,Randolph County Sheriff's Dept,10,8,2,0,0,0,0,2024,1
search-statistics--what-searched--car-property,Randolph County Sheriff's Dept,33,30,3,0,0,0,0,2024,1
search-statistics--contraband-found--drugs,Audrain County Sheriff's Dept,10,9,0,1,0,0,0,2024,1
number-of-stops-by-race--arrest-violation--dwi-bac,Barry County Sheriff's Dept,1,0,0,1,0,0,0,2024,1
number-of-stops-by-race--reason-for-stop--equpiment,Seymour Police Dept,402,378,17,6,1,0,0,2024,0
rates-by-race--totals--resident-stops,Lee's Summit Police Dept,11484,8645,2288,155,14,136,246,2024,0
number-of-stops-by-race--reason-for-stop--license,Granby Police Dept,30,28,0,1,0,1,0,2024,0
rates-by-race--rates--arrest-rate,Thayer Police Dept,7.06,7.55,0,0,,,0,2024,0
search-statistics--probable-cause--consent,Glendale Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--non-resident-stops,High Hill Police Dept,29,26,2,1,0,0,0,2024,0
number-of-stops-by-race--location-of-stop--other,University of Missouri-Columbia Police Dept,208,153,35,8,1,4,7,2024,0
number-of-stops-by-race--reason-for-stop--equpiment,Ash Grove Police Dept,138,133,0,4,0,1,0,2024,0
number-of-stops-by-race--reason-for-stop--other,Duquesne Police Dept,0,0,0,0,0,0,0,2024,0
rates-by-race--population--2020-decennial-pop-pct,Union Police Dept,100,90.44,1.4,2.27,0.42,0.62,4.85,2024,0
rates-by-race--totals--resident-stops,Howard County Sheriff's Dept,151,134,15,2,0,0,0,2024,0
number-of-stops-by-race--citation-warning-violation--moving,University of Missouri-Columbia Police Dept,2894,1995,512,77,29,120,161,2024,0
search-statistics--what-searched--driver,Fordland Police Dept,0,0,0,0,0,0,0,2024,0
search-statistics--probable-cause--drug-dog-alert,Ashland Police Dept,1,1,0,0,0,0,0,2024,0
rates-by-race--totals--contraband,Morgan County Sheriff's Dept,25,25,0,0,0,0,0,2024,0
number-of-stops-by-race--all-stops,Diamond Police Dept,1419,1235,41,110,4,20,9,2024,0
rates-by-race--population--2020-decennial-pop,Lake Lotawana Police Dept,1873,1725,20,30,3,13,82,2024,0
number-of-stops-by-race--all-stops,Ironton Police Dept,149,140,3,3,1,1,1,2024,0
search-statistics--probable-cause--incident-to-arrest,Cameron Police Dept,52,43,7,1,0,1,0,2024,0
search-statistics--what-searched--driver-property,Monroe City Police Dept,27,20,6,1,0,0,0,2024,0
number-of-stops-by-race--reason-for-stop--called-for-service,Hollister Police Dept,11,10,0,1,0,0,0,2024,0
number-of-stops-by-race--stop-outcome--citation,Granby Police Dept,51,47,0,4,0,0,0,2024,0
search-statistics--search-duration--31-minutes,Shelby County Sheriff's Dept,0,0,0,0,0,0,0,2024,0
rates-by-race--population--2023-acs-pop-pct,Easton Police Dept,100,97.1,0,1.24,1.66,0,0,2024,0
number-of-stops-by-race--arrest-violation--property,Creve Coeur Police Dept,1,0,1,0,0,0,0,2024,0
search-statistics--search-duration--31-minutes,Fulton Police Dept,3,2,1,0,0,0,0,2024,0
number-of-stops-by-race--stop-outcome--warning,Festus Police Dept,1844,1697,108,22,2,7,8,2024,0
number-of-stops-by-race--location-of-stop--other,Country Club Hills Police Dept,0,0,0,0,0,0,0,2024,0
rates-by-race--rates--arrest-rate,Senath Police Dept,14.67,17.86,,5.26,,,,2024,0
number-of-stops-by-race--resident-stops,Washington County Sheriff's Dept,301,299,1,1,0,0,0,2024,0
rates-by-race--totals--resident-stops,Fulton Police Dept,1353,1048,279,11,1,4,10,2024,0
number-of-stops-by-race--stop-outcome--citation,Garden City Police Dept,70,66,2,1,0,0,1,2024,0
