agency,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
Adair County Sheriff's Dept,county_sheriff,county,"Adair County, Missouri",0,0
Adrian Police Dept,municipal_police,place,"Adrian city, Missouri",0,0
Advance Police Dept,municipal_police,place,"Advance city, Missouri",0,0
Alma Police Dept,municipal_police,place,"Alma city, Missouri",0,0
Alton Police Dept,municipal_police,place,"Alton city, Missouri",0,0
Anderson Police Dept,municipal_police,place,"Anderson city, Missouri",0,0
Andrew County Sheriff's Dept,county_sheriff,county,"Andrew County, Missouri",0,0
Annapolis Police Dept,municipal_police,place,"Annapolis city, Missouri",0,0
Appleton City Police Dept,municipal_police,place,"Appleton City city, Missouri",0,0
Arbyrd Police Dept,municipal_police,place,"Arbyrd city, Missouri",0,0
Arcadia Police Dept,municipal_police,place,"Arcadia city, Missouri",0,0
Archie Police Dept,municipal_police,place,"Archie city, Missouri",0,0
Arnold Police Dept,municipal_police,place,"Arnold city, Missouri",0,0
Ash Grove Police Dept,municipal_police,place,"Ash Grove city, Missouri",0,0
Ashland Police Dept,municipal_police,place,"Ashland city, Missouri",0,0
Atchison County Sheriff's Dept,county_sheriff,county,"Atchison County, Missouri",0,0
Audrain County Sheriff's Dept,county_sheriff,county,"Audrain County, Missouri",0,0
Aurora Police Dept,municipal_police,place,"Aurora city, Missouri",0,0
Auxvasse Police Dept,municipal_police,place,"Auxvasse city, Missouri",0,0
Ava Police Dept,municipal_police,place,"Ava city, Missouri",0,0
Ballwin Police Dept,municipal_police,place,"Ballwin city, Missouri",0,0
Barry County Sheriff's Dept,county_sheriff,county,"Barry County, Missouri",0,0
Barton County Sheriff's Dept,county_sheriff,county,"Barton County, Missouri",0,0
Bates City Police Dept,municipal_police,place,"Bates City city, Missouri",0,0
Bates County Sheriff's Dept,county_sheriff,county,"Bates County, Missouri",0,0
Battlefield Police Dept,municipal_police,place,"Battlefield city, Missouri",0,0
Bel-Nor Police Dept,municipal_police,place,"Bel-Nor city, Missouri",0,0
Bel-Ridge Police Dept,municipal_police,place,"Bel-Ridge city, Missouri",0,0
Bella Villa Police Dept,municipal_police,place,"Bella Villa city, Missouri",0,0
Belle Police Dept,municipal_police,place,"Belle city, Missouri",0,0
Bellefontaine Neighbors Police Dept,municipal_police,place,"Bellefontaine Neighbors city, Missouri",0,0
Bellflower Police Dept,municipal_police,place,"Bellflower city, Missouri",0,0
Belton Police Dept,municipal_police,place,"Belton city, Missouri",0,0
Benton County Sheriff's Dept,county_sheriff,county,"Benton County, Missouri",0,0
Benton Police Dept,municipal_police,place,"Benton city, Missouri",0,0
Berger Police Dept,municipal_police,place,"Berger city, Missouri",0,0
Berkeley Police Dept,municipal_police,place,"Berkeley city, Missouri",0,0
Bernie Police Dept,municipal_police,place,"Bernie city, Missouri",0,0
Bertrand Police Dept,municipal_police,place,"Bertrand city, Missouri",0,0
Bethany Police Dept,municipal_police,place,"Bethany city, Missouri",0,0
Beverly Hills Police Dept,municipal_police,place,"Beverly Hills city, Missouri",0,0
Billings Police Dept,municipal_police,place,"Billings city, Missouri",0,0
Birch Tree Police Dept,municipal_police,place,"Birch Tree city, Missouri",0,0
Bismarck Police Dept,municipal_police,place,"Bismarck city, Missouri",0,0
Bland Police Dept,municipal_police,place,"Bland city, Missouri",0,0
Bloomfield Police Dept,municipal_police,place,"Bloomfield city, Missouri",0,0
Blue Springs Police Dept,municipal_police,place,"Blue Springs city, Missouri",0,0
Bolivar Police Dept,municipal_police,place,"Bolivar city, Missouri",0,0
Bollinger County Sheriff's Dept,county_sheriff,county,"Bollinger County, Missouri",0,0
Bonne Terre Police Dept,municipal_police,place,"Bonne Terre city, Missouri",0,0
Boone County Sheriff's Dept,county_sheriff,county,"Boone County, Missouri",0,0
Boonville Police Dept,municipal_police,place,"Boonville city, Missouri",0,0
Bourbon-Dept of Public Safety,municipal_police,place,"Bourbon city, Missouri",0,0
Bowling Green Police Dept,municipal_police,place,"Bowling Green city, Missouri",0,0
Branson Police Dept,municipal_police,place,"Branson city, Missouri",0,0
Branson West Police Dept,municipal_police,place,"Branson West city, Missouri",0,0
Braymer Police Dept,municipal_police,place,"Braymer city, Missouri",0,0
Breckenridge Hills Police Dept,municipal_police,place,"Breckenridge Hills city, Missouri",0,0
Brentwood Police Dept,municipal_police,place,"Brentwood city, Missouri",0,0
Bridgeton Police Dept,municipal_police,place,"Bridgeton city, Missouri",0,0
Brookfield Police Dept,municipal_police,place,"Brookfield city, Missouri",0,0
Brunswick Police Dept,municipal_police,place,"Brunswick city, Missouri",0,0
Buchanan County Sheriff's Dept,county_sheriff,county,"Buchanan County, Missouri",0,0
Buckner Police Dept,municipal_police,place,"Buckner city, Missouri",0,0
Buffalo Police Dept,municipal_police,place,"Buffalo city, Missouri",0,0
Butler County Sheriff's Dept,county_sheriff,county,"Butler County, Missouri",0,0
Butler Police Dept,municipal_police,place,"Butler city, Missouri",0,0
Butterfield Police Dept,municipal_police,place,"Butterfield city, Missouri",0,0
Byrnes Mill Police Dept,municipal_police,place,"Byrnes Mill city, Missouri",0,0
Cabool Police Dept,municipal_police,place,"Cabool city, Missouri",0,0
Caldwell County Sheriff's Dept,county_sheriff,county,"Caldwell County, Missouri",0,0
Callaway County Sheriff's Dept,county_sheriff,county,"Callaway County, Missouri",0,0
Calverton Park Police Dept,municipal_police,place,"Calverton Park city, Missouri",0,0
Camden County Sheriff's Dept,county_sheriff,county,"Camden County, Missouri",0,0
Camden Police Dept,municipal_police,place,"Camden city, Missouri",0,0
Camdenton Police Dept,municipal_police,place,"Camdenton city, Missouri",0,0
Cameron Police Dept,municipal_police,place,"Cameron city, Missouri",0,0
Campbell Police Dept,municipal_police,place,"Campbell city, Missouri",0,0
Canadian Pacific Kansas City Ltd Police Dept,municipal_police,place,"Canadian Pacific Kansas City Ltd city, Missouri",0,1
Canalou Police Dept,municipal_police,place,"Canalou city, Missouri",0,0
Canton Police Dept,municipal_police,place,"Canton city, Missouri",0,0
Cape Girardeau Co Sheriff's Dept,county_sheriff,county,"Cape Girardeau County, Missouri",0,0
Cape Girardeau Police Dept,municipal_police,place,"Cape Girardeau city, Missouri",0,0
Cardwell Police Dept,municipal_police,place,"Cardwell city, Missouri",0,0
Carl Junction Police Dept,municipal_police,place,"Carl Junction city, Missouri",0,0
Carroll County Sheriff's Dept,county_sheriff,county,"Carroll County, Missouri",0,0
Carrollton Police Dept,municipal_police,place,"Carrollton city, Missouri",0,0
Carter County Sheriff's Dept,county_sheriff,county,"Carter County, Missouri",0,0
Carterville Police Dept,municipal_police,place,"Carterville city, Missouri",0,0
Carthage Police Dept,municipal_police,place,"Carthage city, Missouri",0,0
Caruthersville Police Dept,municipal_police,place,"Caruthersville city, Missouri",0,0
Cass County Sheriff's Dept,county_sheriff,county,"Cass County, Missouri",0,0
Cassville Police Dept,municipal_police,place,"Cassville city, Missouri",0,0
Cedar County Sheriff's Dept,county_sheriff,county,"Cedar County, Missouri",0,0
Center Police Dept,municipal_police,place,"Center city, Missouri",0,0
Centralia Police Dept,municipal_police,place,"Centralia city, Missouri",0,0
Chaffee Police Dept,municipal_police,place,"Chaffee city, Missouri",0,0
Chariton County Sheriff's Dept,county_sheriff,county,"Chariton County, Missouri",0,0
Charleston Police Dept,municipal_police,place,"Charleston city, Missouri",0,0
Chesterfield Police Dept,municipal_police,place,"Chesterfield city, Missouri",0,0
Chillicothe Police Dept,municipal_police,place,"Chillicothe city, Missouri",0,0
Christian County Sheriff's Dept,county_sheriff,county,"Christian County, Missouri",0,0
City of Bellerive Acres,municipal_police,place,"Bellefontaine Neighbors city, Missouri",1,0
City of Bellerive Acres Police Dept,municipal_police,place,"City of Bellerive Acres city, Missouri",0,0
City of California Police Dept,municipal_police,place,"City of California city, Missouri",0,0
City of Oakland Police Dept,municipal_police,place,"City of Oakland city, Missouri",0,0
Clarence Police Dept,municipal_police,place,"Clarence city, Missouri",0,0
Clark County Sheriff's Dept,county_sheriff,county,"Clark County, Missouri",0,0
Clark Police Dept,municipal_police,place,"Clark city, Missouri",0,0
Clarkton Police Dept,municipal_police,place,"Clarkton city, Missouri",0,0
Clay County Parks Dept,park_ranger,county,"Clay County, Missouri",0,0
Clay County Sheriff's Dept,county_sheriff,county,"Clay County, Missouri",0,0
Claycomo Police Dept,municipal_police,place,"Claycomo city, Missouri",0,0
