tier,category,name,organization,role,region,contact,website,what_they_know,what_to_ask,status,notes,email_subject,email_draft
1,Bridge source,Alicia Hernandez,MICA Project (Migrant and Immigrant Community Action),Advocate/legal services,St. Louis,314-995-6995,https://www.mica-project.org/,90% of MICA Rapid Response Line callers entered ICE custody starting from a traffic stop. Already on record with First Alert 4.,Full breakdown of her Rapid Response data; connect you to affected people; what she's seeing in St. Charles County specifically,,,Missouri traffic stops story — would love to talk,"Hi Alicia,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I saw your quote in the First Alert 4 investigation — that 90% of MICA's Rapid Response Line callers enter ICE custody starting from a traffic stop. That number is central to the story I'm reporting. Our data analysis shows Hispanic traffic stops in Missouri rose 57% between 2020 and 2024 — driven almost entirely by discretionary stop categories like equipment violations and investigative stops. I'd love to talk about what you're seeing through the Rapid Response Line, what the pattern looks like on the ground, and whether MICA could connect me with people whose ICE custody started at a traffic stop.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
1,Bridge source,Jessica Plake,Southern Missouri Immigration Alliance (SMIA),Media Director,Springfield,,https://smimmigrationalliance.org/,"Monitors Greene County jail ICE detainees; found <4% had charges beyond the detainer itself, mostly traffic violations",Their monitoring data; access to detained individuals or families; names of local defense attorneys,,,Missouri traffic stops story — would love to talk,"Hi Jessica,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I've seen SMIA's reporting on Greene County Jail — particularly the finding that less than 4% of people held there had charges beyond the ICE detainer itself. Our analysis of five years of Missouri Vehicle Stops Report data shows a sharp increase in Hispanic traffic stops concentrated in specific corridors, including several southwest Missouri agencies. I'd love to talk with you about what SMIA is seeing in the Springfield area, your jail monitoring data, and whether you can help me connect with people whose ICE encounters started at a traffic stop.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
1,Bridge source,Dominique Moore,Southern Missouri Immigration Alliance (SMIA),Organizer,Springfield,,https://smimmigrationalliance.org/,SMIA does know-your-rights trainings and jail support,Ground-level experience of traffic stop to ICE pipeline in SW Missouri,,,Missouri traffic stops story — would love to talk,"Hi Dominique,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and how they connect to the recent expansion of immigration enforcement in the state. Our analysis shows Hispanic stops concentrated in southwest Missouri agencies — the same region where SMIA has been doing jail support and know-your-rights work. I'd love to hear what you're seeing on the ground and whether SMIA can help me connect with affected people or their families.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
1,Researcher,Austin Kocher,Syracuse University,287(g) researcher,National,,https://austinkocher.substack.com/,"Already on the record in KBIA, STLPR, KCUR about 287(g) risks in Missouri",National context; whether Missouri pattern matches other states with recent 287(g) expansions; peer-reviewed research,,,Missouri traffic stops story — would love to talk,"Hi Austin,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I've read your work on 287(g) and your recent quotes in KBIA, STLPR, and KCUR about what's happening in Missouri. I'm reporting a story based on five years of the state's Vehicle Stops Report, and the pattern I'm finding is that Hispanic stops surged starting in 2022 — before most of Missouri's 287(g) agreements were signed. I'd love to talk about whether this matches what you've seen in other states, the peer-reviewed research on the 287(g) / traffic stop connection, and what you'd want journalists to understand about this data.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
2,Legal aid,,Legal Aid of Western Missouri — Immigration Law Project,Legal services,KC metro/Western MO,,https://lawmo.org/immigration-law-project/,Handles immigration cases in western Missouri,Clients whose deportation started with a traffic stop; agencies most often seen in stop histories,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — specifically, a sharp increase in Hispanic traffic stops between 2020 and 2024, and how those stops connect to ICE contact. I'm trying to understand what this looks like from the defense side. Do you have clients whose deportation cases started with a traffic stop? Are there specific agencies you see most often in their stop histories? I'd love even a short conversation, and I'm happy to talk on background if that's easier.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
2,Legal aid,,Southwest Missouri Volunteer Attorney Project (SWMVAP),Legal services,Joplin/SW Missouri,417-782-1650,,SW Missouri coverage including Jasper County,Client stories; agency patterns,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and how they connect to ICE enforcement, and I'm especially interested in southwest Missouri — Jasper, Newton, and surrounding counties. Our data analysis shows a sharp increase in Hispanic traffic stops in this region. I'm trying to understand what this looks like from the defense side: do you have clients whose deportation cases started with a traffic stop? Which agencies do you see most often? I'd love even 20 minutes of your time, and I'm happy to talk on background if that's easier.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
2,Legal aid,,Legal Services of Southern Missouri,Legal services,Springfield/West Plains,417-255-0348,,Southern Missouri coverage,Client stories; agency patterns,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and their connection to ICE enforcement, with a particular focus on southern and southwest Missouri. Our analysis shows a sharp increase in Hispanic traffic stops in your region. I'd love to hear from the defense side: do you have clients whose deportation cases started with a traffic stop? Which agencies do you see most often in their stop histories? I'm happy to talk on background if that's easier.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
2,Legal aid,,Monarch Immigrant Services,Legal services/Removal defense,St. Louis,,https://monarchstl.org/,STL-area immigration and removal defense,"Clients from St. Charles corridor; O'Fallon, St. Ann cases",,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — specifically, a sharp increase in Hispanic stops between 2020 and 2024 that's concentrated in certain St. Louis-area municipalities, including the St. Charles County corridor. I'd love to hear from the defense side: do you have clients whose deportation cases started with a traffic stop? Are there specific agencies you see most often in their stop histories? I'm happy to talk on background if that's easier.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
3,Advocacy,,Empower Missouri,VSR advocacy,Statewide,,https://empowermissouri.org/,19 years tracking the VSR; pushes Fourth Amendment Affirmation Act; has noted Hispanic search disparity but never investigated deeply,"You've monitored this data since 2005 — did you see the Hispanic trend? If not, why not?",,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

Empower Missouri has been tracking the Vehicle Stops Report for 19 years, and I've read your ""By the Numbers"" analysis. I'm working on a story that focuses on something that hasn't been widely reported: a 57% increase in Hispanic traffic stops between 2020 and 2024, concentrated in discretionary stop categories. I'd love to talk about Empower Missouri's long view of this data, whether the Hispanic trend has been on your radar, and your push for the Fourth Amendment Affirmation Act.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
3,Advocacy,,ACLU of Missouri,Legal/policy,Statewide,,https://www.aclu-mo.org/,Filed 287(g) challenges; runs know-your-rights workshops; part of Castañon Nava consent decree,Legal action coming? How does our data interact with Castañon Nava consent decree?,,,Missouri traffic stops story — would love to talk,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story based on five years of Missouri Vehicle Stops Report data showing a sharp increase in Hispanic traffic stops — particularly in agencies now signing 287(g) agreements. I'm trying to understand how these patterns interact with existing legal protections, including the Castañon Nava consent decree, and whether the ACLU has any legal action underway related to this. I'd love even 20 minutes of your time.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
