tier,category,name,organization,role,region,contact,website,what_they_know,what_to_ask,status,notes,email_subject,email_draft
4,Community — Milan,Axel Fuentes,Rural Community Workers Alliance,Executive Director,Milan (Sullivan Co),axelrcwa@gmail.com / (316) 390-5438,https://www.ruralcommunityworkersalliance.org/,"Present during Feb 24 2026 ICE operation in Milan; leads on-the-ground worker advocacy in meatpacking belt; quoted in KCUR, Investigate Midwest",Traffic stop → ICE pipeline in Sullivan County; chilling effect on Milan workforce; how Feb raid changed behavior,,,Missouri traffic stops story — would love to talk,"Hi Axel,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Present during Feb 24 2026 ICE operation in Milan; leads on-the-ground worker advocacy in meatpacking belt; quoted in KCUR, Investigate Midwest. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Milan,Eliseo Affholter,Kraft Heinz Kirksville (worker),"Worker, US citizen",Milan / Kirksville,Reach via RCWA or Mónica Cordero (mcordero@investigatemidwest.org),,US citizen of Maya descent; stopped and questioned by ICE Feb 24 in Milan; ICE agent broke his phone camera during the stop,Direct personal account of being stopped on the street and treated as a suspect; perfect for the traffic-stop-like encounter angle,,,Missouri traffic stops story — would love to talk,"Hi Eliseo,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. US citizen of Maya descent; stopped and questioned by ICE Feb 24 in Milan; ICE agent broke his phone camera during the stop. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Carthage,Francisco Bonilla,Casa de Sanidad / Iglesia Cristiana Hispanoamericana,Pastor,Carthage (Jasper Co),Facebook @casadesanidadd; church at Second and Grant Streets,,"Central Hispanic church leader in Carthage; runs Radio La Esperanza (Spanish radio); congregation drawn from Butterball workers; featured in KFF Health News, Joplin Globe, KBIA",Butterball workforce stories; changes in attendance or member behavior; whether members are avoiding driving,,,Missouri traffic stops story — would love to talk,"Hi Francisco,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Central Hispanic church leader in Carthage; runs Radio La Esperanza (Spanish radio); congregation drawn from Butterball workers; featured in KFF Health News, Joplin Globe, KBIA. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Carthage,Juan Topete,Carthage City Council,Councilman (first Latino elected),Carthage (Jasper Co),via carthagemo.gov/page/mayor-city-council,,Parents worked at Butterball; still lives in Carthage; community bridge between Latino residents and city government; quoted in KFF Health News / NPR 2020,Whether local police traffic enforcement has changed since 287(g) spread; elected perspective on community fear,,,Missouri traffic stops story — would love to talk,"Hi Juan,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Parents worked at Butterball; still lives in Carthage; community bridge between Latino residents and city government; quoted in KFF Health News / NPR 2020. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Carthage,Luke Boyer,Carthage R-9 School District,Superintendent,Carthage (Jasper Co),Carthage R-9 district office (417) 359-7000,https://carthagetigers.org,District is ~33% Hispanic/Latino; bilingual school calendar; student population tied to Butterball workforce,Attendance or enrollment trends among Hispanic students; whether families have left Carthage recently,,,Missouri traffic stops story — would love to talk,"Hi Luke,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. District is ~33% Hispanic/Latino; bilingual school calendar; student population tied to Butterball workforce. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Noel,"Charles ""Chaz"" Dunn",Nativity of Our Lord Catholic Church,Pastor,Noel (McDonald Co),(417) 475-3144 / parishoffice@nool.us,,Primary Catholic church in Noel with Spanish Sunday mass; serves ~40% Hispanic community; Tyson plant closed 2023,Mass attendance changes; whether parishioners discuss traffic stops; what happened after Tyson closure,,,Missouri traffic stops story — would love to talk,"Hi Charles,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Primary Catholic church in Noel with Spanish Sunday mass; serves ~40% Hispanic community; Tyson plant closed 2023. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Noel,Eric Findley,McDonald County R-1 School District,Superintendent,Noel (McDonald Co),"McDonald County R-1 district office, Anderson MO",https://mcdonaldr1.net,Includes Noel Elementary; district covers children of former/current meatpacking workers,Student attendance changes; school response to ICE activity; post-Tyson community impact,,,Missouri traffic stops story — would love to talk,"Hi Eric,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Includes Noel Elementary; district covers children of former/current meatpacking workers. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Branson,Jorge Valencia,(Individual),"Branson-area resident, tourism worker (US citizen)",Branson (Taney Co),Reach via Branson Tri-Lakes News or SMIA,,"Photographed protesting Feb 2026 Branson ICE vote at City Hall; quoted: ""I am a US citizen, and I feel like coming to work, I might get arrested""",Direct fear angle — a US citizen feeling targeted by the new 287(g) agreement in his hometown,,,Missouri traffic stops story — would love to talk,"Hi Jorge,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Photographed protesting Feb 2026 Branson ICE vote at City Hall; quoted: ""I am a US citizen, and I feel like coming to work, I might get arrested"". I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Branson,Mary Daboin,(Individual),Branson-area resident,Branson (Taney Co),Reach via Branson Tri-Lakes News or SMIA,,Photographed at Feb 2026 ICE protest at Branson City Hall alongside Jorge Valencia,Community reaction to 287(g) in a tourism-dependent town,,,Missouri traffic stops story — would love to talk,"Hi Mary,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Photographed at Feb 2026 ICE protest at Branson City Hall alongside Jorge Valencia. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — St. Charles County,Gabriela Ramírez-Arellano,STLJuntos / Cortex Innovation Community,Co-founder STLJuntos; VP of Entrepreneurship Cortex,St. Charles County,via https://stljuntos.org,,St. Charles County resident (39 years); testified against the county ICE partnership at March 2026 council meeting; cited research on business decline in 287(g) counties; regularly quoted in STL media,Connecting 287(g) to economic chilling effect; what the county Hispanic business community is seeing,,,Missouri traffic stops story — would love to talk,"Hi Gabriela,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. St. Charles County resident (39 years); testified against the county ICE partnership at March 2026 council meeting; cited research on business decline in 287(g) counties; regularly quoted in STL media. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
