section,agency,metric,year,race,value,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
statewide,ALL,total_stops,2020,Total,1162905.0,,,,,
statewide,ALL,total_stops,2020,White,897674.0,,,,,
statewide,ALL,total_stops,2020,Black,209222.0,,,,,
statewide,ALL,total_stops,2020,Hispanic,29711.0,,,,,
statewide,ALL,total_stops,2021,Total,1226812.0,,,,,
statewide,ALL,total_stops,2021,White,940543.0,,,,,
statewide,ALL,total_stops,2021,Black,226062.0,,,,,
statewide,ALL,total_stops,2021,Hispanic,31701.0,,,,,
statewide,ALL,total_stops,2022,Total,1273509.0,,,,,
statewide,ALL,total_stops,2022,White,984097.0,,,,,
statewide,ALL,total_stops,2022,Black,220556.0,,,,,
statewide,ALL,total_stops,2022,Hispanic,36105.0,,,,,
statewide,ALL,total_stops,2023,Total,1367150.0,,,,,
statewide,ALL,total_stops,2023,White,1053004.0,,,,,
statewide,ALL,total_stops,2023,Black,235979.0,,,,,
statewide,ALL,total_stops,2023,Hispanic,42736.0,,,,,
statewide,ALL,total_stops,2024,Total,1282528.0,,,,,
statewide,ALL,total_stops,2024,White,984190.0,,,,,
statewide,ALL,total_stops,2024,Black,217871.0,,,,,
statewide,ALL,total_stops,2024,Hispanic,46655.0,,,,,
statewide,ALL,stop_index_2020_eq_100,2020,White,100.0,,,,,
statewide,ALL,stop_index_2020_eq_100,2020,Black,100.0,,,,,
statewide,ALL,stop_index_2020_eq_100,2020,Hispanic,100.0,,,,,
statewide,ALL,stop_index_2020_eq_100,2021,White,104.8,,,,,
statewide,ALL,stop_index_2020_eq_100,2021,Black,108.0,,,,,
statewide,ALL,stop_index_2020_eq_100,2021,Hispanic,106.7,,,,,
statewide,ALL,stop_index_2020_eq_100,2022,White,109.6,,,,,
statewide,ALL,stop_index_2020_eq_100,2022,Black,105.4,,,,,
statewide,ALL,stop_index_2020_eq_100,2022,Hispanic,121.5,,,,,
statewide,ALL,stop_index_2020_eq_100,2023,White,117.3,,,,,
statewide,ALL,stop_index_2020_eq_100,2023,Black,112.8,,,,,
statewide,ALL,stop_index_2020_eq_100,2023,Hispanic,143.8,,,,,
statewide,ALL,stop_index_2020_eq_100,2024,White,109.6,,,,,
statewide,ALL,stop_index_2020_eq_100,2024,Black,104.1,,,,,
statewide,ALL,stop_index_2020_eq_100,2024,Hispanic,157.0,,,,,
statewide,ALL,pct_change_2020_to_2024,2024,White,9.6,,,,,
statewide,ALL,pct_change_2020_to_2024,2024,Black,4.1,,,,,
statewide,ALL,pct_change_2020_to_2024,2024,Hispanic,57.0,,,,,
statewide,ALL,acs_population,2022,Total,12926383.0,,,,,
statewide,ALL,acs_population,2022,White,10541193.0,,,,,
statewide,ALL,acs_population,2022,Black,1411113.0,,,,,
statewide,ALL,acs_population,2022,Hispanic,509935.0,,,,,
statewide,ALL,resident_stops,2020,White,475184.0,,,,,
statewide,ALL,nonresident_stops,2020,White,422344.0,,,,,
statewide,ALL,nonresident_pct,2020,White,47.1,,,,,
statewide,ALL,resident_stops,2020,Black,92097.0,,,,,
statewide,ALL,nonresident_stops,2020,Black,117121.0,,,,,
statewide,ALL,nonresident_pct,2020,Black,56.0,,,,,
statewide,ALL,resident_stops,2020,Hispanic,12891.0,,,,,
statewide,ALL,nonresident_stops,2020,Hispanic,16813.0,,,,,
statewide,ALL,nonresident_pct,2020,Hispanic,56.6,,,,,
statewide,ALL,resident_stops,2021,White,469485.0,,,,,
statewide,ALL,nonresident_stops,2021,White,464812.0,,,,,
statewide,ALL,nonresident_pct,2021,White,49.7,,,,,
statewide,ALL,resident_stops,2021,Black,84377.0,,,,,
statewide,ALL,nonresident_stops,2021,Black,140990.0,,,,,
statewide,ALL,nonresident_pct,2021,Black,62.6,,,,,
statewide,ALL,resident_stops,2021,Hispanic,13043.0,,,,,
statewide,ALL,nonresident_stops,2021,Hispanic,18530.0,,,,,
statewide,ALL,nonresident_pct,2021,Hispanic,58.7,,,,,
statewide,ALL,resident_stops,2022,White,521066.0,,,,,
statewide,ALL,nonresident_stops,2022,White,463031.0,,,,,
statewide,ALL,nonresident_pct,2022,White,47.1,,,,,
statewide,ALL,resident_stops,2022,Black,82704.0,,,,,
statewide,ALL,nonresident_stops,2022,Black,137852.0,,,,,
statewide,ALL,nonresident_pct,2022,Black,62.5,,,,,
statewide,ALL,resident_stops,2022,Hispanic,15772.0,,,,,
statewide,ALL,nonresident_stops,2022,Hispanic,20333.0,,,,,
statewide,ALL,nonresident_pct,2022,Hispanic,56.3,,,,,
statewide,ALL,resident_stops,2023,White,565762.0,,,,,
statewide,ALL,nonresident_stops,2023,White,487242.0,,,,,
statewide,ALL,nonresident_pct,2023,White,46.3,,,,,
statewide,ALL,resident_stops,2023,Black,89428.0,,,,,
statewide,ALL,nonresident_stops,2023,Black,146551.0,,,,,
statewide,ALL,nonresident_pct,2023,Black,62.1,,,,,
statewide,ALL,resident_stops,2023,Hispanic,18403.0,,,,,
statewide,ALL,nonresident_stops,2023,Hispanic,24333.0,,,,,
statewide,ALL,nonresident_pct,2023,Hispanic,56.9,,,,,
statewide,ALL,resident_stops,2024,White,523042.0,,,,,
